"","City","label","prop.change.population.under.18","prop.change.population.young.adult","prop.change.population.middle.aged","prop.change.population.older.adulthood","prop.change.population.race.White","prop.change.population.race.Black","prop.change.population.race.Native","prop.change.population.race.Islander","prop.change.population.race.Other","prop.change.population.race.Latino","prop.change.households.Nonfamily","prop.change.housing.Owner.Occupied","prop.change.population.Owner.Occupied","prop.change.population.Renter.Occupied","prop.change.housing.householder.race.White","prop.change.housing.householder.race.Black","prop.change.housing.householder.race.Native","prop.change.housing.householder.race.Islander","prop.change.housing.householder.race.Other","prop.change.housing.owner.occupied.householder.race.White","prop.change.housing.owner.occupied.householder.race.Black","prop.change.housing.owner.occupied.householder.race.Native","prop.change.housing.owner.occupied.householder.race.Islander","prop.change.housing.owner.occupied.householder.race.Other","prop.change.housing.renter.occupied.householder.race.White","prop.change.housing.renter.occupied.householder.race.Black","prop.change.housing.renter.occupied.householder.race.Native","prop.change.housing.renter.occupied.householder.race.Islander","prop.change.housing.renter.occupied.householder.race.Other","prop.change.household.size.renter.occupied","prop.change.household.size.owner.occupied","prop.change.household.size"
"2600.2","Albuquerque","eligible",-0.248427503690945,-0.0686319040697675,-0.0208027641180203,0.253083333333333,0.255687722684086,0.779947916666667,0.5018310546875,0.0268930288461538,8.3447265625,-0.150614397942158,0.196623245356189,-0.1351101408408,-0.094070333250332,0.145208964778428,0.0763257291942841,-0.280583613916947,0.582716049382716,-0.321693121693122,-0.325339932866815,-0.00296618278247077,0.307116104868914,0.742821473158552,0.307116104868914,-0.0850187265917603,0.199567567567568,-0.513333333333333,0.378888888888889,-0.675555555555555,-0.487027027027027,-0.156554054054054,-0.118173995652844,-0.141819922241236
"124.2","Albuquerque","eligible",-0.0166420015078324,-0.0574176573074324,-0.101514360925619,0.209130321685598,-0.150508559558771,0.153986820428336,0.0364831159747085,0.483306996604243,-0.043657331136738,0.218249180318232,-0.00572485151924568,-0.0596580354096372,-0.1257641612573,0.04244737046046,-0.0786573952303006,0.389463173593287,0.248201084277969,0.273674575793846,0.356495586719835,-0.00837481326819578,-0.0343057806591032,0.158833063209076,0.316855753646677,0.126983528702273,-0.110389273206672,0.43735018522554,0.230720805791627,0.252124645892351,0.41217065326205,0.050955642414028,-0.0392517177620014,0.00668437262056583
"4502.2","Albuquerque","eligible",-0.0873038116591929,-0.0800958369037793,0.0297188554808712,0.197693113898749,-0.221620948882011,-0.226303251121076,-0.164198560850975,1.56710442024343,0.123108183856502,0.0461046975543972,0.252295214065864,-0.017568905150964,0.0147719231145871,-0.0377442168270085,0.111917701725552,0.0912858294002533,0.211956858612781,0.432312651087832,-0.220224245373535,0.080392058052812,-0.149542682926829,0.143472022955524,-0.352032520325203,-0.129131707317073,0.192953687738886,0.382422802850356,0.331221958300343,2.68646080760095,-0.362404577301722,-0.112730706245113,-0.0118293191692868,-0.045666826119685
"4715.2","Albuquerque","eligible",-0.0951803975990794,0.105806682803632,-0.11617424420941,0.399726084680973,-0.275221502564016,-0.268494873660255,-0.0813366031827351,0.666192926570285,3.6653401943968,0.0638654815132069,0.618023627925841,-0.0435803166900843,-0.0616434094103667,0.299065977539752,-0.0259572746250372,-0.444375417264213,-0.0705808583360183,-0.136755501222494,0.083179442348825,-0.0142975044666997,-0.28220242005879,0.0125087017055344,-0.0598133484162895,0.0443638286220218,-0.0737887318615025,-0.763298760657467,-0.382262365591398,-0.420870967741935,0.283047628371433,-0.0474623170465304,-0.0840757496436808,-0.0778860726863566
"4741.2","Albuquerque","eligible",0.0279094466182226,-0.150638686303688,0.033171976895845,0.357949943532472,-0.162463049970037,-0.40039456811232,0.124104232481896,0.707209910235754,-0.21348052915968,0.0465814552825103,-0.0529500010446918,0.151505189041192,0.0829476759018088,-0.102804513435332,0.112253353387494,-0.248033783822658,0.130642934592618,0.314436945877994,-0.234007082333864,0.116916957182444,-0.295953171091445,0.239122418879056,0.877458210422812,-0.22170823277018,0.108711589808571,-0.191280704608306,0.113399588074147,-0.135568930925767,-0.262989804692298,0.13956781192559,0.0279159284118456,0.0962889997987959
"3736.2","Albuquerque","eligible",-0.11537633733911,-0.0590236667251681,-0.024272474209923,0.26551372509363,-0.163874232776994,-0.0832407922806454,0.183833938322026,0.260314720812183,-1,0.169603831518818,0.233509242623224,-0.102275408502271,-0.0842377226246129,0.259004862631966,-0.0392892594093319,0.308095238095238,0.304547783595986,0.121224489795918,-0.0169413336949275,0.0713324112494237,0.0408022130013831,0.734670355002305,-0.464730290456432,-0.35195333907461,-0.172579645719674,0.289733333333333,-0.00117457244272336,1.9019,0.765763940985246,-0.0337053249373357,-0.0917385179541432,-0.0777671928174748
"3735.2","Albuquerque","gentrified",-0.057497680819373,0.262649586166904,0.0208123379022702,-0.156322547704539,-0.0134567383396709,0.280665057929831,0.657227581844061,6.70077494860035,5.92029100110707,-0.105787082927742,0.0944463958162588,0.0379706316556904,0.0448214556712438,-0.114268974738688,0.0134194175165758,0.206671842937164,0.316910998958584,6.66906993511175,-0.351659403285283,-0.00843945204254223,1.1829727187206,0.217427093132643,14.6166509877705,-0.33177837476118,0.0719135802469136,-0.175754458161866,0.522685185185185,1.21244855967078,-0.355787037037037,-0.0469616474397895,-0.0310627927126067,-0.035673522566754
"4736.2","Albuquerque","eligible",0.0553840603696113,-0.0882655782853031,0.0435838527787658,-0.0188724584103513,-0.571465785944692,-0.767780463529077,0.126829174368454,0.257855822550832,NA,0.342350573622054,-0.115669831589161,-0.185433412227872,-0.198836594015335,3.55972735674677,-0.0387609068194602,-0.283387622149837,0.18611703920027,0.433224755700326,0.0351067680057908,0.00966725417935154,-0.178902953586498,0.131103074141049,0.759493670886076,-0.030787384681399,-0.151190476190476,-0.671428571428571,0.971428571428572,NA,0.0678571428571429,0.220408163265306,0.120051223957051,0.140233421878193
"3202.2","Albuquerque","eligible",-0.155275467775468,0.01554757319369,-0.0835941204362258,0.289890636905562,-0.0302497083769944,-0.164829302987198,-0.0829134218964728,0.170608108108108,0.560810810810811,0.0147973307300372,0.123262558561355,-0.010425579273902,-0.000729843767818427,0.00842194472767724,0.015124890081578,-0.0597403083370752,-0.0010205331265053,0.962281095644365,-0.0300341736792092,0.0518864295762266,0.0906249999999999,0.120800395256917,1.47869318181818,-0.190863375130616,-0.0531449502878075,-0.17425431711146,-0.0968406593406592,-0.0366300366300366,0.19609416800428,-0.0581872958799861,-0.0518858698440386,-0.0541840443586343
"901.2","Albuquerque","eligible",0.037717243670586,-0.0163452412423817,0.0315476617990647,-0.0964046138218464,-0.305050776807528,-0.0780663536087072,-0.0676318010307946,-0.350930263686254,3.76785793958863,0.125765186086827,-0.017889019211832,0.103430089566372,0.205898684344143,0.0135457564342587,0.0335486441615937,0.126112627139668,-0.0642469003520587,-0.268312990057392,-0.024430903038763,0.00862723502957799,-0.161107277049306,0.0695882217621348,-0.254676080763037,0.00796852432890078,0.0360108276595037,0.19133708855653,-0.0592174963930726,-0.264523049169937,-0.0291369179817282,-0.00795705261842523,0.042787806876289,0.00280855338113401
