label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
eligible,1990-2000,2000,0.201907790143084,-0.0713222441053871,0.360211280249932,-0.388568210474904,-0.393395790235123,0.165373608903021,-0.100413354531002,2.27122416534181,NA,3.00171995315391,-0.128347022314115,-0.00908263893531124,-0.0266033566748244,0.0371059853807143,-0.200320989753837,-0.0398967630928057,0.70018281535649,3.59049360146252,2.98420199372219,-0.174376584579438,0.0294599018003274,1.57364975450082,6.20621931260229,4.0443535188216,-0.235016068366215,-0.0637385388938183,0.260351966873706,1.01656314699793,2.33038459125416,0.261292528043015,0.191752845571121,0.220637284797007
eligible,1990-2000,2100,0.0170292095757936,-0.0068373956960914,0.326569255217798,-0.288001909012213,-0.212376200612071,3.11774415822392,-0.28608955903641903,-0.126890018194366,-1,1.15626351781958,0.0670066211627353,-0.0161704566174363,0.00548786087538446,-0.0021765632335346,-0.141687892080562,1.63042808746535,0.242146596858639,0.242146596858639,2.47801047120419,-0.0721323151189015,0.683417085427136,0.0100502512562814,Inf,1.23653984206748,-0.192281134139993,1.80584765324442,0.350314183123878,-0.263464991023339,3.69979481918441,0.0346260344865009,0.0680991162710102,0.048688871560655
eligible,1990-2000,2200,-0.13230540514737,0.0748963095858171,0.17657902786946,-0.165470338088488,-0.0168916976847794,0.12538662859862,-0.463786371079481,-0.610443090100478,-1,0.201684027147679,0.137285873798306,-0.0201647259301335,-0.0584793557921404,-0.0548902740081016,-0.0509741550695825,0.207753479125248,0.0735586481113319,-0.731610337972167,0.565606361829026,-0.048268238761975,-1,0.0956521739130436,Inf,0.60133779264214,-0.0529470529470529,0.582417582417583,0.0549450549450551,-1,0.534465534465534,-0.0192044377347892,0.0148112756808409,-0.00379197499090971
eligible,1990-2000,2300,-0.10855491366853,-0.0849473977456624,0.346471925579843,-0.0210924063359715,-0.106685934956394,0.673789897737837,2.39162689804772,1.10447267844231,NA,1.02237772024351,0.100484261501211,0.0409917129898032,0.120974014895388,-0.0410798243884213,-0.063160879026573,3.32808716707022,6.99031476997579,0.85489450017295,0.706265133171913,-0.0505349099099099,0.918918918918919,Inf,2.1981981981982,0.838963963963964,-0.0862170087976539,8.58441558441558,5.38961038961039,-0.201298701298701,0.597402597402597,-0.0066572083378805,0.0358151559920048,0.0194672190869445
eligible,1990-2000,2400,-0.0106822329289605,0.0623070912495138,0.36292998965677,-0.349657443617866,-0.253824988034851,1.43697807933194,-0.360355719437139,1.13595500830812,-0.706829704742022,1.35691587123655,0.010952590927841,-0.0689980128244524,-0.0781361822657205,0.0717003015541638,-0.125670626556812,1.45906623235613,0.0453520420947131,0.941368078175896,1.17378538330963,-0.0896630997016886,0.737704918032787,1.60655737704918,1.4327868852459,1.15715093273036,-0.159198152229304,1.47411003236246,-0.263901147396293,0.349514563106796,1.12066574202497,0.084962885432081,0.076764256514019,0.0795674515870732
gentrified,1990-2000,2600,0.134689114712537,0.0598048790570534,0.0913755982680372,-0.346312325189479,-0.469089287127869,2.90618244703848,1.62779546437134,2.38535812076668,-1,1.71540888056236,-0.170147046363125,0.0147334257189787,-0.0560557578213294,0.146125388652008,-0.235331741650137,2.348406676783,0.969650986342944,1.46206373292868,2.08964860602815,-0.162863556996757,1.66894736842105,3.85263157894737,0.941052631578947,1.57796052631579,-0.433059384941676,5.1304347826087,0.277173913043478,Inf,3.03318077803204,0.428790132096929,0.130034113060429,0.210571883407654
eligible,1990-2000,2700,0.111987306244817,-0.0384969607662553,0.200893850604555,-0.271336919777543,-0.422933379839554,1.30390920554855,-0.251229508196721,1.37704918032787,-1,0.987313908358918,-0.0221224116930572,-0.0329204136108016,-0.0564355783790901,0.0683094914900282,-0.260013777680158,0.42349269183922,0.650426309378806,4.9415347137637,2.63662900583813,-0.201734831596985,1.0479302832244,0.0239651416122005,Inf,2.22247853389722,-0.335795965565977,0.285911602209945,1.21086556169429,1.84254143646409,3.18485267034991,0.188633055912733,0.137923894171804,0.155544381737948
eligible,1990-2000,2900,0.110450582193463,-0.025904818296203,0.188366212925021,-0.38786073300543,-0.342849649923154,-0.11666455215278,0.157302613346117,-0.119564040564438,0.179558432833542,1.3460063763842,-0.115514790496175,-0.0301370102408165,0.00389164796525994,-0.00372279216306308,-0.12336961770138,-0.129780680972044,0.467454879679144,0.565285204991087,1.01115432398855,-0.137585199610516,-0.120411392405063,-0.27373417721519,3.84177215189873,1.22362869198312,-0.0784260209123508,-0.15281998454803,0.66194523135033,-0.352488870902469,0.772741580107019,0.100927080464606,0.18210823174694,0.143461412326906
eligible,1990-2000,3000,0.127858497440704,-0.132433515886603,0.342725302783525,-0.194033452212408,-0.163017424648232,1.17402955456697,-0.142014004668223,0.34331140683258,-0.913334747946285,1.71969507077072,0.178064263484408,-0.0362499189173503,-0.0385865296717243,0.199680792473896,-0.0764848630879645,0.474469353684712,0.785127991096271,2.89482470784641,1.93762202540958,-0.0630603489829365,-0.191735537190083,1.35743801652893,4.05165289256198,2.42526708324935,-0.128172652804033,1.7045652173913,0.0927536231884058,1.45869565217391,0.77572463768116,0.0306793172592556,0.0136885530151384,0.015536444076383
eligible,1990-2000,3100,0.0369076524928418,-0.179015334137709,0.49480714886517,-0.165109259669224,-0.142529401009476,1.67346288626951,-0.443028565360518,27.0713603058299,0.203058298821281,1.39000420971192,0.17685628211944,-0.0139827104480025,0.00509959655552289,-0.0177819338943282,-0.0517365527358865,1.60078517973255,-0.00558213716108451,Inf,0.414283182704235,-0.0492657513743776,Inf,0.0085197018104368,Inf,1.11308889903139,-0.054945054945055,0.904761904761905,-0.0476190476190476,Inf,-0.206349206349206,-0.0717605166274367,0.0016502615256485,-0.016990372681225
