label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
eligible,2000-2010,200,-0.064766618703335,0.0882882419562517,0.0634937220746894,-0.0673252760463742,0.126885766410553,-0.26383018405866,-0.299281941613801,-0.255263999066621,Inf,0.189558014861471,-0.119906914893617,-0.206924208837776,0.0452509514034556,-0.0127773044570505,0.109126111463957,-0.279331384502117,0.252440159574468,-0.00447064238952553,0.467144186930091,0.43884375,-0.38796813862493,-0.6490625,4.2640625,0.40375,0.0223598297817047,-0.211940408223273,0.465962837837838,-0.255579495311638,0.465156920939631,-0.0378580168332417,0.289281115879828,0.0323061177481846
gentrified,2000-2010,200,-0.064766618703335,0.0882882419562517,0.0634937220746894,-0.0673252760463742,0.126885766410553,-0.26383018405866,-0.299281941613801,-0.255263999066621,Inf,0.189558014861471,-0.119906914893617,-0.206924208837776,0.0452509514034556,-0.0127773044570505,0.109126111463957,-0.279331384502117,0.252440159574468,-0.00447064238952553,0.467144186930091,0.43884375,-0.38796813862493,-0.6490625,4.2640625,0.40375,0.0223598297817047,-0.211940408223273,0.465962837837838,-0.255579495311638,0.465156920939631,-0.0378580168332417,0.289281115879828,0.0323061177481846
eligible,2000-2010,300,-0.0582305266906568,0.10438190238689,-0.0255632396671552,0.0145400183579073,0.384158650991569,-0.239576160442312,2.07852590745359,-0.312829038514824,Inf,0.173294487737122,-0.0683096094422775,-0.0315490362093877,0.00352680364002752,-0.0246645238590253,0.227950718017229,-0.183473760623807,0.0710524825907263,-0.159073251620534,0.2459859472008,0.422945595265195,-0.174842931937173,-0.18760907504363,-0.209565586528937,0.345192765349834,0.127715511277155,-0.186386426716805,0.364535768645358,-0.115478790285223,0.200375504698366,0.0181964729715628,0.0784772650856517,0.0402416789273843
gentrified,2000-2010,300,-0.0582305266906568,0.10438190238689,-0.0255632396671552,0.0145400183579073,0.384158650991569,-0.239576160442312,2.07852590745359,-0.312829038514824,Inf,0.173294487737122,-0.0683096094422775,-0.0315490362093877,0.00352680364002752,-0.0246645238590253,0.227950718017229,-0.183473760623807,0.0710524825907263,-0.159073251620534,0.2459859472008,0.422945595265195,-0.174842931937173,-0.18760907504363,-0.209565586528937,0.345192765349834,0.127715511277155,-0.186386426716805,0.364535768645358,-0.115478790285223,0.200375504698366,0.0181964729715628,0.0784772650856517,0.0402416789273843
eligible,2000-2010,400,-0.134106977364704,0.0608846650710951,0.131758015550462,0.0348950794003411,0.0368692414378915,0.080770255856696,-0.116364496295129,-0.0210704713857796,2.46523726943087,-0.00844355718575431,-0.115562823657672,-0.131966188740336,-0.183579029207229,-0.0137351056940405,0.246758703357767,-0.0678659035159444,0.191861863306238,0.144345775732568,-0.189209616798477,0.0626171003717472,-0.126659585767392,1.12200067590402,0.852540272614622,-0.172106140238431,0.583673469387755,-0.131484184914842,-0.224246271025071,-0.100386431945041,-0.208864425032907,-0.0108933057814381,0.030526353580882,0.0131539326788011
gentrified,2000-2010,400,-0.134106977364704,0.0608846650710951,0.131758015550462,0.0348950794003411,0.0368692414378915,0.080770255856696,-0.116364496295129,-0.0210704713857796,2.46523726943087,-0.00844355718575431,-0.115562823657672,-0.131966188740336,-0.183579029207229,-0.0137351056940405,0.246758703357767,-0.0678659035159444,0.191861863306238,0.144345775732568,-0.189209616798477,0.0626171003717472,-0.126659585767392,1.12200067590402,0.852540272614622,-0.172106140238431,0.583673469387755,-0.131484184914842,-0.224246271025071,-0.100386431945041,-0.208864425032907,-0.0108933057814381,0.030526353580882,0.0131539326788011
eligible,2000-2010,501,-0.10455084123146,-0.00726242625347678,0.164606138213061,0.205275717597928,-0.140010149708196,0.0616573516966885,-0.471936056838366,-0.224466976463726,-0.756278180079246,0.0439992091835134,0.0966008755767161,0.0191402814423922,0.125427616396973,-0.0184366982435367,0.0342923347540762,0.079089709762533,0.233245382585752,0.130474934036939,-0.101171639701703,-0.0985485103132162,0.00840336134453779,0.00840336134453779,0.210084033613445,0.241111829347123,0.0690293522653537,0.103249990901481,0.269290959431805,0.122969918275083,-0.131537764599292,-0.0377022641547289,0.100584278032543,-0.0204972649687893
gentrified,2000-2010,502,-0.17021264615376,0.121161287923417,0.0518910740329904,0.201804969454126,0.342423714511901,-0.302040821957876,-0.420542151968941,-0.498480926850311,2.65973377703827,0.100353977765444,0.130664082518799,0.389203817120068,0.386595830439424,-0.0867029800500374,0.279139326207424,-0.371229377560748,0.378265204386839,-0.272933493098686,-0.0658071867347267,0.073213204118716,-0.0460327074500303,-0.52755905511811,-0.0229062276306371,0.0369678366475376,0.315450046469498,-0.39144666006288,0.816644414775256,-0.281327484264734,-0.0642883845126836,-0.0472144677752154,-0.0310446862931942,-0.0550451799334096
eligible,2000-2010,600,-0.106081437572362,0.122703622453696,-0.0690051282768202,0.188952848182532,0.0029703421579644,-0.122538999343889,-0.517399924456978,-0.61932113043125,0.953218272646937,0.148194586209639,0.0701048037122054,0.0366700456725227,0.218617046516549,-0.00779434981847294,0.15918957917291,-0.0135316016229556,-0.429499355665303,-0.414521781161259,-0.00134153074403731,0.118649193548387,-0.183467741935484,-0.412096774193548,0.119815668202765,-0.141264951069228,0.165478878657173,5.25917469439129e-4,-0.429234295855363,-0.44085572586676,0.021370207416719,-0.0638737237663074,0.0891383032766066,-0.0438922260253212
eligible,2000-2010,700,-0.103675548136604,0.047291507268554,0.0281386294250453,0.110356874867222,-0.222136183398045,-0.147303246385442,-0.162166794185157,-0.390382555470543,-0.700773855066127,0.163229611656115,-0.0771554780587038,-0.0755401584430802,-0.0352792295132176,0.0210737692304325,0.462564686513925,-0.137436738592095,-0.169851914414414,-0.0950473616473618,-0.0900299831081083,0.384092679127726,-0.122061077414727,0.105208333333333,-0.240169270833333,-0.0345306513409961,0.555582283314242,-0.156977159883348,-0.408773625429553,-0.0042503165129318,-0.138267311584993,-0.0399501121150606,0.0281007751937984,-0.00679450687763675
