Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Eligible,2000-2010,3736,-0.115376337,-0.059023667,-0.024272474,0.265513725,-0.163874233,-0.083240792,0.183833938,0.260314721,-1,0.169603832,0.233509243,-0.102275409,-0.084237723,0.259004863,-0.039289259,0.308095238,0.304547784,0.12122449,-0.016941334,0.071332411,0.040802213,0.734670355,-0.46473029,-0.351953339,-0.172579646,0.289733333,-0.001174572,1.9019,0.765763941,-0.033705325,-0.091738518,-0.077767193
Gentrified,2000-2010,3735,-0.057497681,0.262649586,0.020812338,-0.156322548,-0.013456738,0.280665058,0.657227582,6.700774949,5.920291001,-0.105787083,0.094446396,0.037970632,0.044821456,-0.114268975,0.013419418,0.206671843,0.316910999,6.669069935,-0.351659403,-0.008439452,1.182972719,0.217427093,14.61665099,-0.331778375,0.07191358,-0.175754458,0.522685185,1.21244856,-0.355787037,-0.046961647,-0.031062793,-0.035673523
Ineligible,2000-2010,3738,-0.068984233,-0.045096046,-0.184389804,0.39294792,-0.074091815,0.279657621,0.704998364,0.389860694,1.239400837,0.155181845,0.048321045,-0.02205569,-0.092150229,0.052818905,-0.017504972,0.26048684,0.480916805,1.024157897,-0.370701473,-0.02497447,1.125042628,1.16671013,1.066708124,-0.363623598,-0.010934287,0.067423231,0.328668109,0.995374785,-0.377389365,0.034753865,-0.073349444,-0.018977836
Ineligible,2000-2010,501,0.019422062,0.260568955,0.03801112,-0.168682489,-0.188288892,0.613315985,0.025968134,0.046134584,-1,0.32078959,0.066001029,-0.199559909,-0.121169497,0.255908887,-0.1219279,0.900689655,0.315862069,0.336748768,0.867270936,-0.050018156,0.826581379,0.643923241,0.793370808,0.150746269,-0.147208329,0.770727149,0.159021407,0.081753313,0.978063201,-7.90E-04,-0.007679572,-0.02094963
Eligible,2000-2010,4736,0.05538406,-0.088265578,0.043583853,-0.018872458,-0.571465786,-0.767780464,0.126829174,0.257855823,NA,0.342350574,-0.115669832,-0.185433412,-0.198836594,3.559727357,-0.038760907,-0.283387622,0.186117039,0.433224756,0.035106768,0.009667254,-0.178902954,0.131103074,0.759493671,-0.030787385,-0.151190476,-0.671428571,0.971428571,NA,0.067857143,0.220408163,0.120051224,0.140233422
Ineligible,2000-2010,4744,0.031189743,-0.182223017,-0.054764747,0.675617088,-0.29213039,0.003898132,0.382186782,0.35079246,-0.030108374,0.245586263,0.084022912,-0.11351274,-0.138023688,3.92634155,-0.021522427,0.012719895,0.514835647,0.856514222,-0.044117589,-0.006110744,-0.013189715,0.405898983,1.037554199,-0.082031402,-0.003153346,-0.3546875,0.308144796,-0.416941176,0.193814135,0.22228124,0.007975395,0.03540876
Ineligible,2000-2010,2200,-0.232767267,0.020410388,-0.075502513,0.247834132,0.086152852,0.220982454,-0.147926598,0.962964099,0.033139,-0.111365409,0.042607439,-0.021454754,0.025586814,0.002550913,0.027832533,0.269514192,0.051357509,0.676564774,-0.294281912,0.033010766,0.235569986,0.235569986,0.581529582,-0.472823473,0.026827886,0.261099962,0.022513483,0.717822651,-0.238729846,-0.070601105,-0.015901643,-0.049397586
Eligible,2000-2010,3202,-0.155275468,0.015547573,-0.08359412,0.289890637,-0.030249708,-0.164829303,-0.082913422,0.170608108,0.560810811,0.014797331,0.123262559,-0.010425579,-7.30E-04,0.008421945,0.01512489,-0.059740308,-0.001020533,0.962281096,-0.030034174,0.05188643,0.090625,0.120800395,1.478693182,-0.190863375,-0.05314495,-0.174254317,-0.096840659,-0.036630037,0.196094168,-0.058187296,-0.05188587,-0.054184044
Ineligible,2000-2010,4723,-0.218613644,0.020784636,-0.102346621,1.031125271,-0.120060346,-0.028854796,0.321481712,0.301639645,0.331222364,0.182824401,0.491011724,-0.035129469,-0.037078457,0.495583952,0.011054812,-0.158299833,0.21618541,0.187090066,-0.111721612,0.016957943,-0.132407296,0.130598794,0.157939021,-0.14299048,-0.03439681,-0.415686275,1.045098039,Inf,0.045614035,-0.105379386,-0.095674861,-0.093548095
Ineligible,2000-2010,4729,-0.18888017,-0.174530544,-0.055768854,0.571156794,0.065280921,-0.189320903,0.115466388,3.981281198,9.626733222,-0.074420831,0.023879514,0.05276256,0.05525821,-0.114438898,0.064494112,-0.303992016,0.062090106,3.049500998,-0.233543223,0.096603401,-0.323849105,0.092769123,2.245524297,-0.368041974,-0.120877743,-0.201298701,0.183957219,Inf,0.182445141,-0.006821662,-0.041190662,-0.037619266
