Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,1990-2000,110601,0.238397237,-0.309147773,0.254315055,-0.083311955,-0.027661262,0.239304014,1.230747226,0.741325325,-1,0.223593676,0.226618156,-0.033114177,-0.018816326,0.20133129,-0.032072689,0.62763889,0,0.780992447,-0.824715812,-0.028743181,0.359655276,0,0.844226244,-0.773390787,-0.051576808,1.805532108,0,0.402766054,-1,-0.093482311,-0.04266364,-0.056429481
Ineligible,1990-2000,110607,-0.003784932,-0.177335693,0.42257675,-0.09911013,-0.071942776,1.810330408,0.936810619,0.76832049,3.499154202,0.992133125,0.199279809,-0.044255471,-0.014399379,0.022791616,-0.070884516,3.229909993,0.813822161,0.637067208,0.883708184,-0.046280198,2.138686871,0,0.867937582,4.190593274,-0.095410353,3.432045478,-0.157911359,0.329613644,0.297795115,-0.096143677,-0.044558141,-0.071888346
Ineligible,1990-2000,120103,0.144720436,-0.305303021,0.374334362,-0.07386126,-0.053364626,0.324390078,-0.438973648,2.425213519,3.488210818,0.108533997,0.007833921,0.136878237,0.129191958,-0.159380187,-0.046659597,0.305706522,-1,1.74378882,-0.241847826,-0.051039956,0.460767065,-1,4.334975369,-0.555418719,-0.040385385,-0.025210084,0,0.705882353,0.218487395,-0.087133214,-0.10232418,-0.083043478
Ineligible,1990-2000,120104,0.071781551,-0.100882652,0.278096263,-0.233125884,-0.143053043,0.379177545,-0.536903728,1.099771119,0.018811799,0.331746723,0.125217389,0.197656186,0.132701259,-0.063763069,-0.116625003,0.38465944,0.488236327,0.389814298,0.488236327,-0.055749355,0.581521461,-0.171583997,0.991512072,-0.30965333,-0.168932933,0.438779869,0.809785998,0.248752339,0.756556998,-4.49E-04,-0.076045558,-0.026704772
Ineligible,1990-2000,120105,0.065276956,-0.508355458,0.290700136,0.142608943,0.043649098,0.195564801,-0.670978056,-0.573307097,-0.781825021,0.343539067,0.177477883,0.065660761,0.142079845,-0.287128493,-0.021748321,0.077908773,0,0.436857459,0.638081354,-0.040154563,0.318119767,0,2.463750248,1.005020769,0.098943611,-0.648869246,0,-0.438241062,0.379769414,0.029290295,-0.074659565,-0.057050636
Eligible,1990-2000,120201,-0.23830577,-0.016538346,0.219676232,0.020641351,0.02755072,0.362502132,0.554977117,-0.206644328,0.716533181,-0.207511384,0.209393531,0.054642581,0.037299048,-0.013448045,-0.037765497,0.03828864,0.508302583,0.031318005,-0.239511303,-0.074523217,0.177774879,2.813747228,0.620842572,-0.399687936,-0.025453337,0.017519947,0.025531915,-0.186647102,-0.207764445,-0.086731522,-0.11167595,-0.093561907
Ineligible,1990-2000,120301,-0.109250466,-0.045586962,0.203825235,-0.022079251,-0.112055087,0.039889685,0.680801287,0.35757027,-0.546229956,0.05205919,0.165387335,0.040858175,0.042860798,-0.022141239,-0.013405638,-0.197088312,-0.023485785,0.395020307,-0.011755884,-0.055936164,-0.054710744,-1,2.44,-0.031058122,0.009363296,-0.257508303,0.138576779,-0.184882533,0.003580084,-0.089844993,-0.083692887,-0.088730848
Ineligible,1990-2000,120400,-0.051718969,-0.143384049,0.289412787,-0.075800657,-0.012147817,0.444278724,0.297338651,0.319607476,1.224009115,-0.238222368,0.068502596,0.136851983,0.08244589,-0.084864159,-0.038812356,0.23717743,0.144389123,0.33966187,-0.246156371,-0.04130492,0.124426943,0,0.621792511,0.584509924,-0.045814241,0.328025659,0.035409836,0.150455373,-0.288155738,-0.071561722,-0.107533405,-0.080930124
Gentrified,1990-2000,120500,-0.088676161,-0.083897997,0.193445895,0.118621701,0.219090502,0.990928891,1.392607527,2.723832767,-0.35237691,-0.148085362,0.533694363,0.083401063,0.163288887,-0.046349556,-0.055352699,-0.221567358,-0.084196891,0.465284974,-0.026659523,-0.179316634,0.690607735,0,0,-0.106393054,-0.012026927,-0.357215373,-0.250084602,0.218612521,-0.002516378,-0.131972927,-0.035825276,-0.11190431
Ineligible,1990-2000,120600,-0.174384132,-0.016570746,0.232144985,-0.203332818,0.019056775,0.400760135,-1,0.354767435,-0.740181588,-0.126510999,0.154590733,0.014711948,-0.030699522,0.006524833,-0.010671202,-0.005453962,-0.197946744,0.25120308,-0.369051438,-0.06058166,0.37965016,1.845528455,0.08401084,0.053899428,0.019511055,-0.089247639,-0.611940299,0.343283582,-0.474502488,-0.063540817,-0.120587232,-0.084466474
