Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,2000-2010,5911,0.050729247,-0.119665222,-0.061740458,0.198734691,-0.209919047,-0.005050207,0.264766686,1.443254715,Inf,0.154941008,-0.258875,-0.030710383,-0.048617029,0.619788914,-0.122839506,0.078,-0.51,1.499,0.655111111,-0.131686708,0.06160221,0.011049724,1.463284782,0.572744015,0.033918129,Inf,-1,1.6,Inf,0.303601108,0.134200141,0.150554386
Ineligible,2000-2010,5912,-0.160658104,0.205049779,-0.223135318,0.368270854,-0.079091358,0.034314024,-0.142043666,0.258689024,-0.671646341,0.442129268,0.191178513,-0.035191278,-0.012868118,0.10413428,-0.008150436,-0.360831042,-0.114996827,0.376671602,-0.014614523,-0.008606101,-0.337517434,-0.337517434,0.439186265,0.232217573,0.037837838,NA,1.844444444,-0.004444444,-0.612121212,-0.144973545,-0.010820087,-0.024659133
Ineligible,2000-2010,6000,0.009501498,-0.006776619,-0.047476495,0.053967102,-0.131434753,2.099837979,-0.109342327,0.063172447,-0.350562114,0.049285208,-0.08570996,0.003548043,-0.001608969,-0.019906405,0.028003172,1.651671733,0.210545791,0.009198236,-0.086739641,0.011865605,1.119342185,0.348672299,-0.20406225,-0.001105986,0.055983256,2.368300373,0.059954663,0.628628752,-0.147398968,0.03024709,0.039783002,0.035822062
Ineligible,2000-2010,6100,0.019094023,0.061179841,0.039164878,-0.156036427,-0.230230967,6.988891416,3.78613765,1.693951748,Inf,-0.006611008,-0.103964766,0.031238859,0.089651699,-0.066910641,0.139542484,1.719362745,0.792986425,0.748161765,-0.279921536,0.071624949,8.04109589,4.273972603,0.791928915,-0.293976232,0.262731613,0.464330413,0.183297303,0.479121629,-0.254502911,0.008709073,0.079401319,0.044550673
Eligible,2000-2010,6201,-0.036348657,-0.055851853,0.055086128,0.144417806,0.476226994,-0.55291411,-0.105828221,0.385966258,Inf,-0.026654636,4.13E-04,0.012968093,0.014638945,-0.012553831,0.575823923,Inf,-0.1264,-0.514666667,-0.404635616,0.40243367,NA,5.036912752,0.149888143,-0.351614167,0.75891947,Inf,-0.524111974,-0.852701325,-0.452619118,-0.026827687,-0.00761899,-0.018663807
Eligible,2000-2010,6202,-0.033375548,-0.082513587,0.038719974,0.192202978,-0.072538626,1.600264434,0.33346894,0.348285262,-0.133245189,-0.001511565,0.002760867,-0.023778851,-0.031850306,0.048185691,0.219442228,2.16549511,-0.347716159,0.125509372,-0.22090997,0.216504995,2.458773784,-0.027219873,0.119015048,-0.241844715,0.227051282,1.99178744,-0.533747412,0.16563147,-0.193928237,-0.013637433,-0.020888301,-0.01807187
Ineligible,2000-2010,6300,0.025297219,0.155287905,-0.128510628,0.014640793,-0.274703905,0.665077707,0.094625673,-0.183797301,-0.779280397,0.42133326,0.026877856,-2.24E-05,0.022743923,-0.053302243,-0.068441947,0.672548155,0.625148005,-0.212459843,0.40525553,-0.080116403,0.157943925,0.543925234,-0.237227414,0.794291488,-0.032767482,1.701661631,0.736782477,-0.073716012,0.082968842,-0.01039249,0.077087032,0.049733134
Ineligible,2000-2010,6402,-0.139579735,0.273057518,-0.316627133,0.468503978,-0.032907385,0.856542213,0.142761362,2.00583025,-0.807112497,0.128238805,0.180135745,0.010923072,0.012105115,-0.007326945,0.001651451,-1,0.066818212,2.025884383,-0.260339373,0.016867893,-1,-0.002270148,Inf,-0.386012398,-0.056615577,NA,0.165890817,1.086330935,0.564748201,-0.011609849,-0.048305598,-0.03967968
Ineligible,2000-2010,6403,-0.073472065,0.172553866,-0.192045958,0.210870233,-0.042364685,-0.202331853,-0.39640357,1.701131192,-1,0.370655114,0.070496167,-0.03742093,-0.025561449,0.141437457,-0.027583457,-0.136382711,-0.134218257,1.878724297,0.240480728,-0.019858093,-0.235476331,-0.072292288,1.685469693,0.081163123,-0.050939621,1.824902724,-0.293774319,3.237354086,0.765564202,-0.003873036,0.007343627,0.006374669
Ineligible,2000-2010,6404,-0.166677364,0.050203756,-0.151321974,0.428207327,-0.026343134,0.211666116,-0.266580478,0.280009211,-0.185984926,0.338191448,0.171546229,0.012728311,0.075783407,-0.096912404,-0.014011241,1.191576087,-0.174936061,0.461050725,0.285724638,-0.013948163,0.514822134,0.096442688,0.471541502,0.42826087,-0.018266085,Inf,-0.364661654,0.392857143,0.021428571,-0.11194407,-0.025077087,-0.040995008
Ineligible,2000-2010,6405,-0.157186585,0.098743152,-0.174345423,0.320755632,-0.044255233,0.930582452,-0.448837637,0.513576642,0.455362156,0.607828668,0.033764622,-0.030325456,-0.046786821,0.194292836,-0.011062677,2.545762712,-0.206868867,0.772881356,8.20E-04,-0.006072466,2.656652361,-0.303494788,0.736909871,-0.08583691,-0.026725431,NA,-0.009139785,0.955645161,0.229262673,0.03723763,-0.034327127,-0.017184051
Eligible,2000-2010,6501,0.021161311,-0.082308425,0.03509576,0.086374122,-0.340337675,0.778849695,0.198000815,-0.365884021,0.415819145,0.045305735,-0.077278699,-0.106695754,-0.084100291,0.075297743,0.116249294,0.366456806,0.043821171,-0.263185055,-0.075983545,0.110378789,3.249071207,0.274721362,-0.150185759,-0.104497576,0.148496241,-0.307256236,-0.076341648,-0.384227765,-0.073534176,-0.015659442,0.0318583,0.005752579
Eligible,2000-2010,6502,-0.049472982,-0.094949901,0.022178063,0.366796932,-0.090295636,0.531715885,-0.46255583,0.201447774,0.477971468,0.010135137,0.123682382,-0.091255409,-0.027205051,0.021004979,0.181463976,4.281041461,-0.328830851,-0.013431815,-0.143435557,0.029260506,3.470276498,-0.616833443,-0.031440092,-0.075168359,0.411524572,5.010362694,-0.248704663,0.502590674,-0.198244529,-0.107645131,0.022599204,-0.050417041
Eligible,2000-2010,6602,-0.003592331,-0.107867139,0.104170439,0.072178822,-0.355921509,-0.42436371,-0.221867149,-0.361187424,1.982842594,0.080206045,-0.139037433,-0.104965592,-0.08332927,0.101371768,0.229178995,-0.569049271,-0.217904233,-0.10797833,-0.226020484,0.197148967,0.123478261,0.310724638,-0.063768116,-0.266559475,0.261276131,-0.690916089,-0.459103156,-0.072748268,-0.21110782,0.034561768,0.050094725,0.038265233
Ineligible,2000-2010,6603,0.014693172,0.228198255,-0.054900054,-0.187825785,-0.39358927,3.232890705,0.164044944,-0.432368194,Inf,0.503528315,-0.109002358,-0.087047976,-0.208909032,0.17274168,-0.064642589,-0.576862124,1.468304279,-0.304386976,0.435178983,0.007640833,0.081460674,1.162921348,-0.204808328,0.035441071,-0.155783603,-0.711515152,1.596363636,-0.480727273,0.661672727,0.227575268,0.031750005,0.110370708
Ineligible,2000-2010,6604,1.70E-05,-0.153218102,0.07783596,0.331098112,-0.389524674,0.180726222,-0.641479892,-0.28146595,1.982887297,0.077394968,-0.14194402,-0.091888917,-0.092372122,0.121330253,0.078195138,1.568581638,0.050783397,-0.235793893,-0.081694719,0.148504926,Inf,0.542811839,-0.280021142,-0.167956202,0.001289742,0.663230241,-0.251546392,0.027289266,0.005002057,0.013305815,0.03067901,0.026413616
