Gent_Label,Data.Measurement.Year,Census.Tract.Code,prop.change.population.under.18,prop.change.population.young.adult,prop.change.population.middle.aged,prop.change.population.older.adulthood,prop.change.population.race.White,prop.change.population.race.Black,prop.change.population.race.Native,prop.change.population.race.Islander,prop.change.population.race.Other,prop.change.population.race.Latino,prop.change.households.Nonfamily,prop.change.housing.Owner.Occupied,prop.change.population.Owner.Occupied,prop.change.population.Renter.Occupied,prop.change.housing.householder.race.White,prop.change.housing.householder.race.Black,prop.change.housing.householder.race.Native,prop.change.housing.householder.race.Islander,prop.change.housing.householder.race.Other,prop.change.housing.owner.occupied.householder.race.White,prop.change.housing.owner.occupied.householder.race.Black,prop.change.housing.owner.occupied.householder.race.Native,prop.change.housing.owner.occupied.householder.race.Islander,prop.change.housing.owner.occupied.householder.race.Other,prop.change.housing.renter.occupied.householder.race.White,prop.change.housing.renter.occupied.householder.race.Black,prop.change.housing.renter.occupied.householder.race.Native,prop.change.housing.renter.occupied.householder.race.Islander,prop.change.housing.renter.occupied.householder.race.Other,prop.change.household.size.renter.occupied,prop.change.household.size.owner.occupied,prop.change.household.size
Ineligible,1990-2000,10301,-0.040104568,-0.212630628,0.051341173,0.212902076,-0.042769951,0.493033707,-0.041537766,-0.041033313,Inf,1.396155584,0.313239195,-0.021094657,-0.036204461,0.120006198,-0.034117855,0.372152621,0.179794777,-0.557576959,3.424230415,-0.027482928,0.262068374,-1,-0.322064624,Inf,-0.048746485,0.740592929,0.687847688,-1,0.687847688,-0.010000809,-0.09399955,-0.07154201
Gentrified,1990-2000,13400,-0.239894811,0.080644325,0.315007428,-0.230469607,-0.012368176,-0.033525219,-0.253121144,1.060057789,Inf,0.919046833,0.268570978,0.049906516,0.089305097,-0.151773714,-0.010955982,-0.280435307,0.415905539,1.381321148,1.528402748,-0.015160959,0.926573622,-0.036713189,1.247669225,Inf,-0.006306489,-0.463280002,0.651814444,1.609501491,-0.449395185,-0.17668997,-0.074735971,-0.107716669
Ineligible,1990-2000,13201,-0.053700031,-0.123468905,0.047459275,0.105353435,-0.153539932,1.352324403,1.264577965,2.947579276,Inf,0.340594335,0.33638232,-0.012546515,0.012720482,-0.037887588,-0.093225487,0.973047507,0.928849706,2.477710992,-0.517787574,-0.089339346,2.472635619,-0.511660616,2.752502634,-0.511660616,-0.101968453,0.498738739,Inf,1.324284892,-0.534446433,-0.110336668,-0.021256906,-0.044805164
Ineligible,1990-2000,18500,0.21126191,-0.302592152,0.109675912,-0.077765617,-0.006296554,-0.014886,-0.014886,0.209003546,Inf,1.141552175,0.018865208,0.005107564,0.001202546,-0.012706544,-0.005290087,0.413854854,0.009896324,0.178212378,-0.663367892,-0.003768606,0.205717311,0.004764426,0.205717311,-1,-0.017448814,Inf,NA,0.051502146,Inf,0.053828478,0.021605229,0.025552133
Ineligible,1990-2000,15630,0.208374315,0.55468679,-0.035759449,-0.619545833,-0.280962301,5.066460587,Inf,0.669242658,Inf,3.86862442,-0.391604938,0.364197531,0.379326495,-0.736339667,-0.204245181,1.806584362,NA,0.222222222,-0.456790123,-0.273303167,3.114630468,NA,Inf,-0.601809955,0.235294118,-1,NA,-0.5,NA,0.137254902,0.182503771,0.169711934
Eligible,1990-2000,10701,-0.073015346,-0.132797008,0.380183356,-0.115180451,-0.145271313,0.969684347,0.66156511,-0.256509815,1.347863742,7.361424423,0.126075479,0.05449221,0.071472095,-0.062646503,-0.125943472,0.951354937,1.739260515,-0.360839213,8.678720488,-0.10832658,2.939853777,Inf,0.731803858,5.061313502,-0.150100927,0.603254778,0.533227557,-0.46762932,10.02007307,-0.043116661,-0.011900612,-0.027363886
Ineligible,1990-2000,15626,0.496868421,-0.210847571,0.346019809,-0.325569634,-0.324450008,1.217702134,2.267879762,7.340388602,Inf,1.570182255,-0.121916762,1.230206727,1.084503837,-0.257491581,-0.264088906,1.110912055,1.845786125,8.672869096,1.459044319,-0.291227379,1.295966134,2.726785609,6.025494493,Inf,-0.251739735,1.010390204,0.898070058,9.435573936,1.280149096,0.036635389,0.048496179,0.131633163
Eligible,1990-2000,10702,-0.082794947,-0.057117072,0.261667261,-0.046612676,-0.21413709,0.374657052,1.093411327,4.788599502,1.378876508,10.48909247,0.066377672,0.174345344,-0.031902757,0.005829202,-0.132065518,0.303752717,2.234966947,1.911470252,11.61637109,-0.055913898,0.836465433,Inf,Inf,-0.173590555,-0.152881548,0.309921113,1.9941054,1.661427022,19.9587378,0.05264114,-0.155253313,0.017215625
Ineligible,1990-2000,17701,0.091168707,-0.100571751,0.301726797,-0.226917171,-0.005363132,0.131608557,NA,0.745910345,NA,-0.090671695,0.165170117,0.011175118,0.022107506,-0.130359496,-0.011969023,0.453927725,NA,0.938570299,Inf,-0.010151907,-0.041427017,NA,0.597621638,Inf,-0.021582734,Inf,NA,Inf,NA,-0.077648226,0.007912464,-0.002609036
Ineligible,1990-2000,10602,-0.06389884,-0.078987877,0.064631809,0.12749453,-0.16459717,0.712108178,13.07956268,0.137742439,0.564395854,1.251752997,0.311972886,0.081943781,0.047426197,-0.194307619,-0.189289985,0.973238041,2.084755718,0.445979243,2.470350183,-0.201739672,1.157485504,0.425561925,-0.002106653,1.138342887,-0.163244239,0.554908875,Inf,1.369231036,4.33076983,-0.08768685,-0.044088213,-0.058130217
