GEOID,tot_pop,med_income,ed_hs,rc_white,lang_eng,percEng,percWhite,geometry
000601,3511,60343,591,2519,71.8,71.8,71.74594132725719,"list(list(c(-71.153786, -71.153949, -71.153946, -71.153476, -71.153449, -71.15333, -71.151915, -71.147862, -71.146743, -71.150881, -71.150533, -71.150358, -71.149965, -71.149082, -71.144176, -71.140681, -71.139066, -71.137625, -71.137445, -71.140266, -71.142428, -71.142997, -71.144291, -71.145612, -71.146511, -71.147079, -71.147393, -71.148027, -71.14816, -71.149755, -71.151235, -71.152446, -71.152812, -71.153067, -71.153346, -71.153786, 42.347256, 42.347547, 42.348083, 42.348861, 42.349146, 42.349582, 
42.35164, 42.350345, 42.352294, 42.35335, 42.353886, 42.354193, 42.3548, 42.356151, 42.354889, 42.354004, 42.353791, 42.353612, 42.353595, 42.352543, 42.351776, 42.351634, 42.351346, 42.350786, 42.350417, 42.350165, 42.350054, 42.349804, 42.349758, 42.348185, 42.345813, 42.346096, 42.346155, 42.346154, 42.346639, 42.347256)))"
000602,4031,25476,888,2431,52.8,52.8,60.30761597618457,"list(list(c(-71.147741, -71.149047, -71.149755, -71.14816, -71.148027, -71.147393, -71.147079, -71.146511, -71.145612, -71.144291, -71.142997, -71.142428, -71.140266, -71.137445, -71.135801, -71.13456, -71.136148, -71.136379, -71.136893, -71.13758, -71.138898, -71.139806, -71.140043, -71.140366, -71.141698, -71.142085, -71.142306, -71.143109, -71.144543, -71.145049, -71.14556, -71.146096, -71.146238, -71.146514, -71.147741, 42.346747, 42.347457, 42.348185, 42.349758, 42.349804, 42.350054, 42.350165, 
42.350417, 42.350786, 42.351346, 42.351634, 42.351776, 42.352543, 42.353595, 42.353497, 42.353352, 42.350794, 42.350393, 42.349704, 42.348649, 42.349034, 42.348958, 42.348866, 42.348686, 42.34602, 42.345445, 42.345073, 42.343878, 42.344623, 42.344963, 42.345413, 42.345986, 42.346106, 42.346247, 42.346747)))"
000701,4233,53083,699,3283,68.6,68.6,77.55728797543114,"list(list(c(-71.135724, -71.135511, -71.135238, -71.135212, -71.135042, -71.135375, -71.135757, -71.135961, -71.135555, -71.134674, -71.134549, -71.134254, -71.135155, -71.135278, -71.135985, -71.137824, -71.138246, -71.138387, -71.139804, -71.140519, -71.141698, -71.140366, -71.140043, -71.139806, -71.138898, -71.13758, -71.136893, -71.136379, -71.135694, -71.135853, -71.135724, 42.34904, 42.348776, 42.34849, 42.348425, 42.348165, 42.348054, 42.347968, 42.347957, 42.347592, 42.34685, 42.346729, 
42.346577, 42.346023, 42.345941, 42.345366, 42.343876, 42.344126, 42.344218, 42.345093, 42.345523, 42.34602, 42.348686, 42.348866, 42.348958, 42.349034, 42.348649, 42.349704, 42.350393, 42.349992, 42.349449, 42.34904)))"
000703,2865,19299,45,1971,70.4,70.4,68.79581151832461,"list(list(c(-71.130167, -71.129509, -71.128344, -71.125024, -71.124236, -71.12126, -71.121311, -71.122423, -71.123522, -71.124216, -71.124755, -71.126215, -71.129746, -71.129897, -71.130033, -71.13067, -71.130868, -71.130937, -71.130984, -71.131021, -71.13104, -71.131071, -71.131447, -71.131601, -71.132106, -71.131278, -71.130167, 42.352828, 42.352747, 42.352604, 42.352236, 42.352242, 42.351872, 42.351675, 42.351811, 42.351461, 42.351525, 42.35123, 42.350412, 42.34885, 42.349058, 42.349218, 42.34986, 
42.350136, 42.350266, 42.350336, 42.350406, 42.350433, 42.350499, 42.351154, 42.351443, 42.353061, 42.352949, 42.352828)))"
000704,4679,41606,711,3133,59.3,59.3,66.95875187005771,"list(list(c(-71.136379, -71.136148, -71.13456, -71.134002, -71.132106, -71.131601, -71.131447, -71.131071, -71.13104, -71.131021, -71.130984, -71.130937, -71.130868, -71.13067, -71.130033, -71.129897, -71.129746, -71.132007, -71.133381, -71.134254, -71.134549, -71.134674, -71.135555, -71.135961, -71.135757, -71.135375, -71.135042, -71.135212, -71.135238, -71.135511, -71.135724, -71.135853, -71.135694, -71.136379, 42.350393, 42.350794, 42.353352, 42.353283, 42.353061, 42.351443, 42.351154, 42.350499, 
42.350433, 42.350406, 42.350336, 42.350266, 42.350136, 42.34986, 42.349218, 42.349058, 42.34885, 42.347773, 42.347122, 42.346577, 42.346729, 42.34685, 42.347592, 42.347957, 42.347968, 42.348054, 42.348165, 42.348425, 42.34849, 42.348776, 42.34904, 42.349449, 42.349992, 42.350393)))"
000802,8142,36734,1263,5452,63.2,63.2,66.96143453696881,"list(list(c(-71.129509, -71.130167, -71.131278, -71.132106, -71.134002, -71.13456, -71.135801, -71.137445, -71.137625, -71.139066, -71.138198, -71.13808, -71.137979, -71.137369, -71.137098, -71.136961, -71.133083, -71.13224, -71.131621, -71.131488, -71.131267, -71.13083, -71.129768, -71.130277, -71.130417, -71.130361, -71.130218, -71.129949, -71.129755, -71.123039, -71.124829, -71.12318, -71.128027, -71.129718, -71.130233, -71.130738, -71.131396, -71.120729, -71.120694, -71.120832, -71.12126, -71.124236, 
-71.125024, -71.128344, -71.129509, 42.352747, 42.352828, 42.352949, 42.353061, 42.353283, 42.353352, 42.353497, 42.353595, 42.353612, 42.353791, 42.357093, 42.357419, 42.357608, 42.358761, 42.359056, 42.359315, 42.358556, 42.358585, 42.358799, 42.358595, 42.358722, 42.359024, 42.361072, 42.361611, 42.361957, 42.362353, 42.362694, 42.36303, 42.363198, 42.363751, 42.361182, 42.358998, 42.357261, 42.356654, 42.356478, 42.35636, 42.356105, 42.354615, 42.354479, 42.353824, 42.351872, 42.352242, 42.352236, 
42.352604, 42.352747)))"
000803,3433,23429,246,2110,66.8,66.8,61.46227789105738,"list(list(c(-71.115808, -71.118277, -71.120286, -71.121311, -71.12126, -71.120832, -71.120694, -71.120729, -71.131396, -71.130738, -71.130233, -71.129718, -71.128027, -71.12318, -71.124829, -71.123039, -71.129755, -71.125946, -71.123735, -71.119209, -71.118195, -71.117963, -71.114457, -71.111472, -71.110706, -71.110936, -71.113635, -71.113784, -71.115808, 42.351017, 42.351326, 42.351557, 42.351675, 42.351872, 42.353824, 42.354479, 42.354615, 42.356105, 42.35636, 42.356478, 42.356654, 42.357261, 42.358998, 
42.361182, 42.363751, 42.363198, 42.366041, 42.36832, 42.367537, 42.366683, 42.35481, 42.352551, 42.351878, 42.351817, 42.350446, 42.350767, 42.35078, 42.351017)))"
010103,3753,16210,25,2497,69,69,66.53343991473488,"list(list(c(-71.110706, -71.103318, -71.10211, -71.100255, -71.09778, -71.097771, -71.097168, -71.097621, -71.100564, -71.101143, -71.103314, -71.106825, -71.10668, -71.10657, -71.110936, -71.110706, 42.351817, 42.350985, 42.350888, 42.350785, 42.350596, 42.350276, 42.348982, 42.348737, 42.347918, 42.347758, 42.348093, 42.348753, 42.349431, 42.349912, 42.350446, 42.351817)))"
010104,5232,35262,342,3706,71.5,71.5,70.83333333333333,"list(list(c(-71.099802, -71.100622, -71.101143, -71.100564, -71.097621, -71.097168, -71.097771, -71.09778, -71.093191, -71.08982, -71.089497, -71.0893, -71.088728, -71.088191, -71.087844, -71.089636, -71.092871, -71.098115, -71.099802, 42.347651, 42.347693, 42.347758, 42.347918, 42.348737, 42.348982, 42.350276, 42.350596, 42.35098, 42.351493, 42.350848, 42.350459, 42.349289, 42.348127, 42.347464, 42.347644, 42.347643, 42.347637, 42.347651)))"
010203,5007,35906,503,3675,65.3,65.3,73.39724385859796,"list(list(c(-71.093295, -71.094303, -71.094612, -71.094644, -71.094932, -71.097412, -71.097133, -71.096493, -71.097162, -71.098408, -71.09926, -71.099795, -71.100308, -71.101071, -71.102351, -71.102519, -71.101897, -71.100595, -71.100318, -71.098955, -71.098575, -71.098166, -71.098115, -71.092871, -71.089636, -71.087844, -71.087758, -71.089264, -71.089413, -71.090005, -71.090399, -71.09055, -71.0907, -71.090902, -71.091854, -71.092295, -71.093095, -71.093295, 42.346511, 42.345577, 42.34469, 42.344549, 
42.344381, 42.343694, 42.343079, 42.341843, 42.341667, 42.340791, 42.340629, 42.340804, 42.341046, 42.341738, 42.343056, 42.343375, 42.344013, 42.345223, 42.34547, 42.346815, 42.347173, 42.347599, 42.347637, 42.347643, 42.347644, 42.347464, 42.3473, 42.346887, 42.346851, 42.346679, 42.346576, 42.34655, 42.346535, 42.346544, 42.346755, 42.347037, 42.34667, 42.346511)))"
010204,2377,35023,67,1666,70.6,70.6,70.08834665544805,"list(list(c(-71.102519, -71.10361, -71.104307, -71.104393, -71.104816, -71.105131, -71.105526, -71.105938, -71.10674, -71.107185, -71.10685, -71.10683, -71.10683, -71.106825, -71.103314, -71.101143, -71.100622, -71.099802, -71.098115, -71.098166, -71.098575, -71.098955, -71.100318, -71.100595, -71.101897, -71.102519, 42.343375, 42.344064, 42.344082, 42.344117, 42.344103, 42.344226, 42.343909, 42.343808, 42.34604, 42.347011, 42.34859, 42.348701, 42.34873, 42.348753, 42.348093, 42.347758, 42.347693, 
42.347651, 42.347637, 42.347599, 42.347173, 42.346815, 42.34547, 42.345223, 42.344013, 42.343375)))"
010300,5944,26397,41,4808,82.7,82.7,80.88829071332437,"list(list(c(-71.098988, -71.097537, -71.096885, -71.093205, -71.093213, -71.092461, -71.092266, -71.095745, -71.096947, -71.098133, -71.098884, -71.099564, -71.100306, -71.100935, -71.10539, -71.110001, -71.104168, -71.098988, 42.339095, 42.338706, 42.339026, 42.340943, 42.340612, 42.339587, 42.339107, 42.337727, 42.33726, 42.336783, 42.33649, 42.336255, 42.335941, 42.336168, 42.33786, 42.340317, 42.343318, 42.339095)))"
010403,3104,20365,551,1847,57.6,57.6,59.503865979381445,"list(list(c(-71.087455, -71.086831, -71.085907, -71.085796, -71.085976, -71.086805, -71.089965, -71.089765, -71.089548, -71.089222, -71.089264, -71.087758, -71.087455, 42.346635, 42.345424, 42.343486, 42.343332, 42.343319, 42.343436, 42.34392, 42.34466, 42.34541, 42.346634, 42.346887, 42.3473, 42.346635)))"
010404,6132,17965,146,5036,79.6,79.6,82.12654924983693,"list(list(c(-71.086614, -71.086981, -71.09066, -71.091026, -71.091769, -71.091827, -71.091746, -71.091208, -71.090489, -71.090331, -71.090196, -71.089965, -71.086805, -71.085976, -71.085796, -71.085046, -71.084958, -71.086422, -71.086614, 42.341474, 42.341233, 42.339766, 42.339608, 42.339891, 42.339941, 42.340055, 42.340915, 42.342079, 42.342605, 42.343141, 42.34392, 42.343436, 42.343319, 42.343332, 42.342825, 42.34277, 42.341593, 42.341474)))"
010405,5394,14188,325,4179,72.6,72.6,77.47497219132369,"list(list(c(-71.091026, -71.09066, -71.086981, -71.086614, -71.086422, -71.084958, -71.084096, -71.083352, -71.083504, -71.084681, -71.090518, -71.091051, -71.095745, -71.092266, -71.092461, -71.093213, -71.093205, -71.090844, -71.090902, -71.0907, -71.09055, -71.090399, -71.090005, -71.089413, -71.089264, -71.089222, -71.089548, -71.089765, -71.089965, -71.090196, -71.090331, -71.090489, -71.091208, -71.091746, -71.091827, -71.091769, -71.091026, 42.339608, 42.339766, 42.341233, 42.341474, 42.341593, 
42.34277, 42.342192, 42.341689, 42.341263, 42.340293, 42.335665, 42.335934, 42.337727, 42.339107, 42.339587, 42.340612, 42.340943, 42.344077, 42.346544, 42.346535, 42.34655, 42.346576, 42.346679, 42.346851, 42.346887, 42.346634, 42.34541, 42.34466, 42.34392, 42.343141, 42.342605, 42.342079, 42.340915, 42.340055, 42.339941, 42.339891, 42.339608)))"
010408,1248,44492,16,996,78.1,78.1,79.8076923076923,"list(list(c(-71.094644, -71.095072, -71.096493, -71.097133, -71.097412, -71.094932, -71.094644, 42.344549, 42.342353, 42.341843, 42.343079, 42.343694, 42.344381, 42.344549)))"
010500,3382,36017,302,2352,74.6,74.6,69.54464813719693,"list(list(c(-71.086831, -71.087455, -71.087758, -71.086734, -71.085602, -71.084742, -71.084406, -71.082757, -71.081775, -71.081303, -71.080911, -71.080344, -71.080225, -71.080151, -71.080082, -71.08078, -71.083352, -71.084096, -71.084958, -71.085046, -71.085796, -71.085907, -71.086831, 42.345424, 42.346635, 42.3473, 42.347588, 42.347884, 42.346195, 42.346039, 42.345817, 42.345386, 42.345049, 42.344787, 42.3444, 42.344319, 42.344263, 42.344219, 42.343744, 42.341689, 42.342192, 42.34277, 42.342825, 
42.343332, 42.343486, 42.345424)))"
010600,2840,68080,196,2317,81,81,81.58450704225352,"list(list(c(-71.084406, -71.084742, -71.085602, -71.083796, -71.079508, -71.077368, -71.076933, -71.072659, -71.072, -71.076261, -71.075981, -71.078086, -71.080082, -71.080151, -71.080225, -71.080344, -71.080911, -71.081303, -71.081775, -71.082757, -71.084406, 42.346039, 42.346195, 42.347884, 42.348367, 42.349508, 42.350075, 42.34928, 42.35041, 42.349022, 42.347904, 42.347343, 42.345821, 42.344219, 42.344263, 42.344319, 42.3444, 42.344787, 42.345049, 42.345386, 42.345817, 42.346039)))"
010701,2290,88438,30,1883,75.4,75.4,82.22707423580786,"list(list(c(-71.084721, -71.085125, -71.083173, -71.080862, -71.080279, -71.07986, -71.079508, -71.083796, -71.085602, -71.086734, -71.087758, -71.087844, -71.088191, -71.088728, -71.088424, -71.086243, -71.084721, 42.350341, 42.351144, 42.351651, 42.352267, 42.351085, 42.350304, 42.349508, 42.348367, 42.347884, 42.347588, 42.3473, 42.347464, 42.348127, 42.349289, 42.349332, 42.34991, 42.350341)))"
010702,2658,91071,48,2503,91.5,91.5,94.16854778028593,"list(list(c(-71.072822, -71.072659, -71.076933, -71.077368, -71.079508, -71.07986, -71.080279, -71.080862, -71.076583, -71.074401, -71.072122, -71.071637, -71.071079, -71.070704, -71.070655, -71.070455, -71.072822, 42.350755, 42.35041, 42.34928, 42.350075, 42.349508, 42.350304, 42.351085, 42.352267, 42.353425, 42.354022, 42.354641, 42.353831, 42.352673, 42.35194, 42.351854, 42.351417, 42.350755)))"
010801,3576,112284,80,3105,83,83,86.82885906040268,"list(list(c(-71.075049, -71.073302, -71.073021, -71.072511, -71.072122, -71.074401, -71.076583, -71.080862, -71.081595, -71.077575, -71.075219, -71.075049, 42.355325, 42.355812, 42.35531, 42.355453, 42.354641, 42.354022, 42.353425, 42.352267, 42.353704, 42.354876, 42.355507, 42.355325)))"
010802,3133,85362,69,2895,80.3,80.3,92.4034471752314,"list(list(c(-71.085915, -71.08171, -71.081595, -71.080862, -71.083173, -71.085125, -71.084721, -71.086243, -71.088424, -71.088728, -71.0893, -71.089497, -71.08982, -71.086558, -71.085915, 42.352526, 42.353673, 42.353704, 42.352267, 42.351651, 42.351144, 42.350341, 42.34991, 42.349332, 42.349289, 42.350459, 42.350848, 42.351493, 42.352372, 42.352526)))"
020101,4335,93244,120,4094,83.5,83.5,94.44059976931949,"list(list(c(-71.073302, -71.073405, -71.073444, -71.072071, -71.070789, -71.070151, -71.068629, -71.068582, -71.067689, -71.067326, -71.066823, -71.066306, -71.065048, -71.065069, -71.065109, -71.06499, -71.065792, -71.067642, -71.068916, -71.069406, -71.071296, -71.072511, -71.073021, -71.073302, 42.355812, 42.355965, 42.356139, 42.359449, 42.359503, 42.359515, 42.359568, 42.359339, 42.359309, 42.35934, 42.359352, 42.359355, 42.359368, 42.358856, 42.357684, 42.357195, 42.357001, 42.356603, 42.356319, 
42.356216, 42.355771, 42.355453, 42.35531, 42.355812)))"
020200,3739,54228,118,3449,86,86,92.24391548542391,"list(list(c(-71.068629, -71.070151, -71.070789, -71.072071, -71.072037, -71.072057, -71.072359, -71.072348, -71.070472, -71.069939, -71.069755, -71.068736, -71.06785, -71.066916, -71.066382, -71.065987, -71.065161, -71.065048, -71.066306, -71.066823, -71.067326, -71.067689, -71.068582, -71.068629, 42.359568, 42.359515, 42.359503, 42.359449, 42.359717, 42.360138, 42.360879, 42.361372, 42.36131, 42.361174, 42.361164, 42.361183, 42.3612, 42.361189, 42.361197, 42.361189, 42.361201, 42.359368, 42.359355, 
42.359352, 42.35934, 42.359309, 42.359339, 42.359568)))"
020301,2260,60347,124,1621,78.3,78.3,71.72566371681415,"list(list(c(-71.069939, -71.070472, -71.072348, -71.068446, -71.071628, -71.070896, -71.070738, -71.070694, -71.067793, -71.068349, -71.068769, -71.065155, -71.065224, -71.065139, -71.065134, -71.063858, -71.063755, -71.064453, -71.065161, -71.065987, -71.066382, -71.066916, -71.06785, -71.068736, -71.069755, -71.069939, 42.361174, 42.36131, 42.361372, 42.366596, 42.367158, 42.367809, 42.367995, 42.368067, 42.366435, 42.366192, 42.365788, 42.364177, 42.3636, 42.363237, 42.362404, 42.362198, 42.361241, 
42.361231, 42.361201, 42.361189, 42.361197, 42.361189, 42.3612, 42.361183, 42.361164, 42.361174)))"
020302,1056,62302,25,896,76.6,76.6,84.84848484848484,"list(list(c(-71.062911, -71.062864, -71.062875, -71.062817, -71.062642, -71.063169, -71.063653, -71.06499, -71.065109, -71.065069, -71.065048, -71.065161, -71.064453, -71.063755, -71.062911, 42.361229, 42.36009, 42.359483, 42.358665, 42.357977, 42.357748, 42.357566, 42.357195, 42.357684, 42.358856, 42.359368, 42.361201, 42.361231, 42.361241, 42.361229)))"
020303,3143,87244,606,1988,78.5,78.5,63.25167037861915,"list(list(c(-71.064095, -71.063688, -71.062132, -71.059795, -71.059558, -71.059051, -71.058585, -71.058525, -71.058191, -71.057709, -71.057882, -71.058037, -71.058216, -71.0584, -71.058559, -71.061856, -71.062911, -71.063755, -71.063858, -71.065134, -71.065139, -71.065224, -71.065155, -71.068769, -71.068349, -71.067793, -71.070694, -71.069795, -71.06741, -71.064095, 42.368997, 42.368904, 42.368551, 42.368767, 42.368427, 42.367779, 42.367117, 42.366952, 42.364052, 42.363543, 42.363546, 42.363481, 
42.363431, 42.363412, 42.363381, 42.36243, 42.361229, 42.361241, 42.362198, 42.362404, 42.363237, 42.3636, 42.364177, 42.365788, 42.366192, 42.366435, 42.368067, 42.369097, 42.369097, 42.368997)))"
030100,1958,53026,342,1861,80.4,80.4,95.04596527068438,"list(list(c(-71.055932, -71.056271, -71.057408, -71.058525, -71.058042, -71.05756, -71.057324, -71.0534, -71.053926, -71.054249, -71.054944, -71.055433, -71.055631, -71.055932, 42.365558, 42.365745, 42.365338, 42.366952, 42.367283, 42.367652, 42.367799, 42.367525, 42.366966, 42.367099, 42.366052, 42.366241, 42.36595, 42.365558)))"
030200,1650,51909,240,1500,81.9,81.9,90.9090909090909,"list(list(c(-71.055904, -71.056176, -71.056293, -71.055699, -71.056176, -71.057332, -71.057709, -71.058191, -71.058525, -71.057408, -71.056271, -71.055932, -71.055753, -71.055414, -71.055505, -71.055904, 42.363518, 42.363135, 42.362998, 42.362652, 42.362357, 42.36318, 42.363543, 42.364052, 42.366952, 42.365338, 42.365745, 42.365558, 42.36547, 42.365268, 42.364173, 42.363518)))"
