GEOID,DP03_0062E,DP03_0062M,DP02_0059E,DP02_0059M,DP02_0060E,DP02_0060M,DP02_0061E,DP02_0061M,DP02_0062E,DP02_0062M,DP02_0063E,DP02_0063M,DP02_0067E,DP02_0067M,DP05_0032E,DP05_0032M,DP05_0033E,DP05_0033M,DP05_0034E,DP05_0034M,DP05_0039E,DP05_0039M,DP05_0047E,DP05_0047M,DP02_0111PE,DP02_0111PM,DP02_0113E,DP02_0113M,DP02_0114E,DP02_0114M,NAME,B01001_001E,B01001_001M,geometry,adjMHI,percEng,percWhite,"GEOID == str_remove(bos_acs10$GEOID, ""25025"")"
050600,41196,17088,445,261,295,161,308,134,24,23,8,13,NA,NA,918,271,146,171,8,13,0,127,0,127,16.3,8.9,1217,310,1045,257,"Census Tract 506, Suffolk County, Massachusetts",1906,263,"list(list(c(-71.036984, -71.035152, -71.034449, -71.034742, -71.033923, -71.036989, -71.037643, -71.038586, -71.03866, -71.040294, -71.039184, -71.03903, -71.039075, -71.039092, -71.03878, -71.03771, -71.038087, -71.037341, -71.036984, 42.373958, 42.373013, 42.372711, 42.372461, 42.371932, 42.369287, 42.369577, 42.36999, 42.370009, 42.370739, 42.37213, 42.372371, 42.374167, 42.374923, 42.374927, 42.374112, 42.373536, 42.374014, 42.373958)))",45047.825999999994,16.3,48.163693599160545,FALSE
050700,54479,6736,976,269,395,171,1148,276,95,58,43,43,NA,NA,2943,672,147,127,22,36,0,127,0,127,21.4,6.2,2727,544,2798,515,"Census Tract 507, Suffolk County, Massachusetts",4652,497,"list(list(c(-71.031537, -71.031044, -71.03054, -71.029191, -71.028583, -71.028081, -71.028021, -71.027851, -71.027739, -71.032977, -71.034449, -71.035152, -71.036984, -71.037341, -71.038087, -71.03771, -71.03878, -71.035834, -71.036256, -71.034096, -71.033678, -71.031537, 42.377628, 42.37732, 42.377006, 42.378128, 42.377756, 42.377407, 42.377358, 42.377271, 42.37722, 42.372793, 42.372711, 42.373013, 42.373958, 42.374014, 42.373536, 42.374112, 42.374927, 42.376031, 42.376652, 42.37745, 42.376827, 
42.377628)))",59572.786499999995,21.4,63.26311263972485,FALSE
050901,39893,22761,731,241,430,156,1300,298,326,98,17,30,NA,NA,2475,530,109,136,18,20,144,120,0,127,24.6,6.3,2130,427,2508,387,"Census Tract 509.01, Suffolk County, Massachusetts",4368,431,"list(list(c(-71.038813, -71.033234, -71.031995, -71.027712, -71.022672, -71.022542, -71.022458, -71.022179, -71.022664, -71.021869, -71.021698, -71.021767, -71.022873, -71.023558, -71.022636, -71.022322, -71.022032, -71.021562, -71.022276, -71.022658, -71.025103, -71.027739, -71.027851, -71.028021, -71.028081, -71.028583, -71.029191, -71.02982, -71.030235, -71.032359, -71.034511, -71.035341, -71.033194, -71.033423, -71.033395, -71.039315, -71.03931, -71.039322, -71.039262, -71.039082, -71.038813, 
42.386811, 42.38491, 42.384597, 42.384041, 42.386265, 42.386066, 42.385937, 42.385393, 42.383916, 42.383578, 42.383539, 42.383019, 42.381987, 42.381379, 42.381739, 42.381201, 42.38101, 42.380143, 42.379906, 42.379756, 42.379736, 42.37722, 42.377271, 42.377358, 42.377407, 42.377756, 42.378128, 42.379051, 42.379663, 42.378856, 42.378069, 42.379305, 42.380103, 42.380522, 42.382611, 42.382606, 42.383949, 42.385405, 42.386831, 42.386801, 42.386811)))",43622.9955,24.6,56.66208791208791,FALSE
051000,39559,10479,235,119,242,93,1121,233,545,177,184,91,NA,NA,3415,417,125,87,0,127,162,198,0,127,62.5,9.1,589,216,627,296,"Census Tract 510, Suffolk County, Massachusetts",3896,414,"list(list(c(-71.010842, -71.010376, -71.010149, -71.013395, -71.011268, -71.013454, -71.014752, -71.015625, -71.015724, -71.021562, -71.022032, -71.022322, -71.022636, -71.023558, -71.022873, -71.021767, -71.021698, -71.021869, -71.022664, -71.022179, -71.022458, -71.022542, -71.022672, -71.022428, -71.017794, -71.016094, -71.013395, -71.011272, -71.01193, -71.010001, -71.011609, -71.013123, -71.008046, -71.008401, -71.010842, 42.386132, 42.385439, 42.3851, 42.382899, 42.380653, 42.380871, 42.379304, 
42.380313, 42.380482, 42.380143, 42.38101, 42.381201, 42.381739, 42.381379, 42.381987, 42.383019, 42.383539, 42.383578, 42.383916, 42.385393, 42.385937, 42.386066, 42.386265, 42.386373, 42.390697, 42.395897, 42.397398, 42.396589, 42.395752, 42.39549, 42.393493, 42.391632, 42.38712, 42.387008, 42.386132)))",43257.7665,62.5,87.65400410677618,FALSE
051101,51855,10829,847,265,450,215,1835,401,487,154,133,72,NA,NA,4718,719,330,229,5,8,194,160,0,127,39.4,8.1,2487,735,2553,795,"Census Tract 511.01, Suffolk County, Massachusetts",6376,809,"list(list(c(-71.010149, -71.010376, -71.010842, -71.008401, -71.008046, -71.013123, -71.011609, -71.008579, -71.005972, -71.002303, -70.998233, -70.995086, -70.995076, -70.995047, -70.99458, -70.994454, -70.994731, -70.996729, -70.996403, -70.999388, -71.001105, -70.996182, -70.996423, -71.000018, -71.00076, -70.994681, -70.994648, -70.997994, -70.99898, -70.999347, -70.999494, -70.999689, -71.000055, -71.000206, -71.005701, -71.008856, -71.011119, -71.011172, -71.011268, -71.013395, -71.010149, 
42.3851, 42.385439, 42.386132, 42.387008, 42.38712, 42.391632, 42.393493, 42.393387, 42.392821, 42.392384, 42.390266, 42.393511, 42.393529, 42.393566, 42.393329, 42.393316, 42.392888, 42.390291, 42.388414, 42.388331, 42.386965, 42.385396, 42.384351, 42.385629, 42.384512, 42.382709, 42.38115, 42.378197, 42.377895, 42.377665, 42.377648, 42.377731, 42.377706, 42.377754, 42.37904, 42.380017, 42.380803, 42.380718, 42.380653, 42.382899, 42.3851)))",56703.4425,39.4,73.99623588456713,FALSE
051200,43954,3818,267,127,96,77,678,210,156,78,103,70,NA,NA,1680,317,74,70,0,127,102,83,0,127,43.2,9.9,858,289,691,187,"Census Tract 512, Suffolk County, Massachusetts",2462,381,"list(list(c(-71.042596, -71.043396, -71.041892, -71.038919, -71.038689, -71.039388, -71.036831, -71.035728, -71.035382, -71.035234, -71.034754, -71.033387, -71.032036, -71.031224, -71.030684, -71.028866, -71.027887, -71.027633, -71.026275, -71.028088, -71.026352, -71.027005, -71.029734, -71.030184, -71.028258, -71.03151, -71.034186, -71.039629, -71.040125, -71.042596, 42.363798, 42.364598, 42.366346, 42.368504, 42.368406, 42.366844, 42.365716, 42.367125, 42.367564, 42.367731, 42.36831, 42.367734, 
42.367122, 42.366783, 42.366557, 42.365751, 42.365335, 42.365005, 42.36385, 42.358333, 42.357222, 42.355983, 42.357591, 42.359366, 42.362194, 42.361196, 42.359237, 42.361777, 42.362115, 42.363798)))",48063.69899999999,43.2,68.23720552396426,FALSE
060101,70172,10604,17,13,141,121,735,207,432,143,115,62,NA,NA,3071,353,25,41,10,17,0,127,0,127,98.5,1.3,0,127,0,127,"Census Tract 601.01, Suffolk County, Massachusetts",3106,347,"list(list(c(-71.025001, -71.025155, -71.026388, -71.027084, -71.029533, -71.031143, -71.031191, -71.031226, -71.031254, -71.031283, -71.029212, -71.029234, -71.029317, -71.027255, -71.025133, -71.025071, -71.025026, -71.025009, -71.025001, 42.333021, 42.332923, 42.332617, 42.332409, 42.331432, 42.330653, 42.33236, 42.333186, 42.334002, 42.334832, 42.334861, 42.335729, 42.338238, 42.338271, 42.33831, 42.335802, 42.334095, 42.333281, 42.333021)))",76733.082,98.5,98.87314874436575,FALSE
060200,83398,10661,27,27,0,127,450,142,88,53,66,50,NA,NA,2034,232,0,127,0,127,0,127,0,127,92.6,5,32,35,36,33,"Census Tract 602, Suffolk County, Massachusetts",2055,232,"list(list(c(-71.035207, -71.035247, -71.035296, -71.033262, -71.03328, -71.0333, -71.033312, -71.033346, -71.029234, -71.029212, -71.031283, -71.031254, -71.031226, -71.031191, -71.031143, -71.035207, 42.32935, 42.330642, 42.332293, 42.332329, 42.333146, 42.333978, 42.334617, 42.335661, 42.335729, 42.334861, 42.334832, 42.334002, 42.333186, 42.33236, 42.330653, 42.32935)))",91195.71299999999,92.6,98.97810218978103,FALSE
060301,80457,14625,21,23,72,48,630,165,159,78,89,41,NA,NA,2620,252,13,22,0,127,39,58,0,127,96.1,2.8,10,15,26,32,"Census Tract 603.01, Suffolk County, Massachusetts",2672,234,"list(list(c(-71.037268, -71.037291, -71.037314, -71.037336, -71.041479, -71.041511, -71.04153, -71.04155, -71.039961, -71.037431, -71.035421, -71.033346, -71.033312, -71.0333, -71.03328, -71.033262, -71.035296, -71.035247, -71.035207, -71.036044, -71.037248, -71.037243, -71.037268, 42.330607, 42.331432, 42.332265, 42.33308, 42.333016, 42.333827, 42.334662, 42.335518, 42.335551, 42.335588, 42.33563, 42.335661, 42.334617, 42.333978, 42.333146, 42.332329, 42.332293, 42.330642, 42.32935, 42.329348, 42.329525, 
42.329707, 42.330607)))",87979.72949999999,96.1,98.05389221556887,FALSE
060400,71711,12577,139,84,104,55,853,185,391,137,270,149,NA,NA,4793,511,14,13,0,127,36,41,0,127,94.9,2.6,43,48,102,69,"Census Tract 604, Suffolk County, Massachusetts",4856,516,"list(list(c(-71.047415, -71.047405, -71.047449, -71.047456, -71.04745, -71.047508, -71.046763, -71.046277, -71.045695, -71.045444, -71.044269, -71.04155, -71.04153, -71.041511, -71.041479, -71.037336, -71.037314, -71.037291, -71.037268, -71.037243, -71.037248, -71.03904, -71.039791, -71.044053, -71.047385, -71.047384, -71.047415, 42.331245, 42.331735, 42.332313, 42.332966, 42.333646, 42.334599, 42.334959, 42.335223, 42.335452, 42.335452, 42.33547, 42.335518, 42.334662, 42.333827, 42.333016, 42.33308, 
42.332265, 42.331432, 42.330607, 42.329707, 42.329525, 42.329957, 42.330088, 42.330192, 42.330136, 42.330419, 42.331245)))",78415.9785,94.9,98.70263591433279,FALSE
060501,89922,13875,124,71,136,64,403,107,156,60,129,84,NA,NA,2901,279,121,146,0,127,183,115,0,127,91.4,5.1,152,92,15,23,"Census Tract 605.01, Suffolk County, Massachusetts",3395,302,"list(list(c(-71.033346, -71.035421, -71.037431, -71.039961, -71.04155, -71.044269, -71.045444, -71.045695, -71.046288, -71.04776, -71.04652, -71.045559, -71.044383, -71.042475, -71.037522, -71.035486, -71.029317, -71.029234, -71.033346, 42.335661, 42.33563, 42.335588, 42.335551, 42.335518, 42.33547, 42.335452, 42.335452, 42.335864, 42.336812, 42.337877, 42.338718, 42.33798, 42.33801, 42.338095, 42.338141, 42.338238, 42.335729, 42.335661)))",98329.707,91.4,85.44918998527245,FALSE
060600,78750,11021,14,21,119,75,139,55,152,93,0,127,NA,NA,1605,206,14,22,0,127,167,100,0,127,88,5.8,62,54,23,20,"Census Tract 606, Suffolk County, Massachusetts",1831,188,"list(list(c(-71.04652, -71.04776, -71.05084, -71.051308, -71.052168, -71.052377, -71.044555, -71.045742, -71.051157, -71.052188, -71.051463, -71.051461, -71.050039, -71.049595, -71.049073, -71.045566, -71.045833, -71.029659, -71.033623, -71.033404, -71.035778, -71.035134, -71.037314, -71.037451, -71.039493, -71.041406, -71.047072, -71.046094, -71.045559, -71.04652, 42.337877, 42.336812, 42.338795, 42.339123, 42.339657, 42.339803, 42.346545, 42.348077, 42.350649, 42.351121, 42.351932, 42.352033, 42.353855, 
42.354497, 42.354939, 42.359733, 42.357204, 42.3517, 42.348142, 42.350864, 42.347757, 42.3466, 42.343216, 42.343214, 42.344487, 42.344526, 42.339701, 42.339051, 42.338718, 42.337877)))",86113.125,88,87.65701802293829,FALSE
060700,17143,4241,199,86,198,84,456,123,96,66,11,18,NA,NA,472,169,507,330,20,30,145,114,0,127,47.5,13.7,542,184,621,165,"Census Tract 607, Suffolk County, Massachusetts",1801,255,"list(list(c(-71.055375, -71.057112, -71.056772, -71.05624, -71.053928, -71.052377, -71.052168, -71.051308, -71.05084, -71.052405, -71.05389, -71.055375, 42.337224, 42.338333, 42.338383, 42.338869, 42.340791, 42.339803, 42.339657, 42.339123, 42.338795, 42.337488, 42.33624, 42.337224)))",18745.870499999997,47.5,26.20766240977235,FALSE
060800,75814,10470,60,62,189,129,690,153,427,139,107,85,NA,NA,3199,336,38,43,5,8,207,125,0,127,93.7,4.3,125,115,10,15,"Census Tract 608, Suffolk County, Massachusetts",3475,348,"list(list(c(-71.048769, -71.049067, -71.049726, -71.050238, -71.051086, -71.051925, -71.052296, -71.052806, -71.053179, -71.055308, -71.056204, -71.057118, -71.057112, -71.055375, -71.05389, -71.052405, -71.05084, -71.04776, -71.046288, -71.045695, -71.046277, -71.046763, -71.047508, -71.048318, -71.048769, 42.334015, 42.333863, 42.333558, 42.333342, 42.332815, 42.33232, 42.332055, 42.331759, 42.331574, 42.335047, 42.33651, 42.337904, 42.338333, 42.337224, 42.33624, 42.337488, 42.338795, 42.336812, 
42.335864, 42.335452, 42.335223, 42.334959, 42.334599, 42.334206, 42.334015)))",82902.609,93.7,92.05755395683454,FALSE
061000,26056,4853,259,92,216,110,587,174,266,115,62,58,NA,NA,2205,440,349,326,0,127,285,113,0,127,63.2,10,597,160,726,301,"Census Tract 610, Suffolk County, Massachusetts",3548,401,"list(list(c(-71.052501, -71.052583, -71.052659, -71.052722, -71.052766, -71.052802, -71.052964, -71.053179, -71.052806, -71.052296, -71.051925, -71.051086, -71.050238, -71.049726, -71.049067, -71.048769, -71.048318, -71.047508, -71.04745, -71.047456, -71.047449, -71.047405, -71.047415, -71.047384, -71.047385, -71.048068, -71.048223, -71.05193, -71.052119, -71.052501, 42.329142, 42.329206, 42.329356, 42.330213, 42.330487, 42.330634, 42.331127, 42.331574, 42.331759, 42.332055, 42.33232, 42.332815, 
42.333342, 42.333558, 42.333863, 42.334015, 42.334206, 42.334599, 42.333646, 42.332966, 42.332313, 42.331735, 42.331245, 42.330419, 42.330136, 42.330102, 42.330098, 42.329148, 42.329061, 42.329142)))",28492.235999999997,63.2,62.147688838782415,FALSE
061101,12429,5914,328,103,277,115,390,144,244,91,16,21,NA,NA,872,254,605,246,9,15,411,193,0,127,36.2,8.8,801,179,685,255,"Census Tract 611.01, Suffolk County, Massachusetts",2265,270,"list(list(c(-71.056915, -71.056928, -71.052624, -71.052565, -71.052392, -71.052093, -71.052287, -71.052456, -71.054295, -71.05685, -71.056868, -71.056915, 42.328035, 42.328552, 42.328597, 42.327112, 42.322976, 42.321469, 42.321465, 42.321466, 42.324425, 42.326289, 42.326867, 42.328035)))",13591.111499999999,36.2,38.498896247240616,FALSE
061200,66179,8155,117,109,18,21,552,219,142,74,135,108,NA,NA,2748,279,78,69,9,15,122,108,0,127,84.3,6.6,171,128,79,72,"Census Tract 612, Suffolk County, Massachusetts",3007,275,"list(list(c(-71.062807, -71.065044, -71.065395, -71.065417, -71.064812, -71.062445, -71.061188, -71.059777, -71.05961, -71.058738, -71.058031, -71.055102, -71.052188, -71.051157, -71.045742, -71.044555, -71.052377, -71.053928, -71.05624, -71.056772, -71.057112, -71.057118, -71.056204, -71.055308, -71.053179, -71.052964, -71.052802, -71.052766, -71.052722, -71.052659, -71.052583, -71.052501, -71.052649, -71.052624, -71.056928, -71.056915, -71.057471, -71.057845, -71.057723, -71.058249, -71.058241, 
-71.059288, -71.06023, -71.063553, -71.062807, 42.331959, 42.334594, 42.335322, 42.335401, 42.338294, 42.342988, 42.342652, 42.344896, 42.345077, 42.345125, 42.345796, 42.346841, 42.351121, 42.350649, 42.348077, 42.346545, 42.339803, 42.340791, 42.338869, 42.338383, 42.338333, 42.337904, 42.33651, 42.335047, 42.331574, 42.331127, 42.330634, 42.330487, 42.330213, 42.329356, 42.329206, 42.329142, 42.32915, 42.328597, 42.328552, 42.328035, 42.328046, 42.328139, 42.328368, 42.328616, 42.329734, 42.329973, 
42.330187, 42.330791, 42.331959)))",72366.7365,84.3,91.3867642168274,FALSE
070101,41786,13088,392,177,161,85,353,160,261,118,39,35,NA,NA,2896,470,187,107,33,34,1516,224,0,127,57.7,5.2,835,263,225,111,"Census Tract 701.01, Suffolk County, Massachusetts",4694,516,"list(list(c(-71.062761, -71.063284, -71.064725, -71.064562, -71.064366, -71.064235, -71.063592, -71.063308, -71.063042, -71.062257, -71.061956, -71.063169, -71.062642, -71.05829, -71.058561, -71.058737, -71.058235, -71.05771, -71.057191, -71.055759, -71.052158, -71.05106, -71.050892, -71.050471, -71.050434, -71.049595, -71.050039, -71.051461, -71.051463, -71.052188, -71.055102, -71.058031, -71.058738, -71.05961, -71.059777, -71.060029, -71.060143, -71.060754, -71.061096, -71.060836, -71.063039, -71.061754, 
-71.061193, -71.059875, -71.060893, -71.062761, 42.351508, 42.351548, 42.351708, 42.352383, 42.353064, 42.353394, 42.354759, 42.355209, 42.355514, 42.356268, 42.356534, 42.357748, 42.357977, 42.35741, 42.357161, 42.356988, 42.356832, 42.356777, 42.356822, 42.356913, 42.358666, 42.355131, 42.35506, 42.354898, 42.354846, 42.354497, 42.353855, 42.352033, 42.351932, 42.351121, 42.346841, 42.345796, 42.345125, 42.345077, 42.344896, 42.345091, 42.345168, 42.345609, 42.345537, 42.346305, 42.34685, 42.347221, 
42.34793, 42.351228, 42.351461, 42.351508)))",45692.990999999995,57.7,61.69578184916915,FALSE
070200,18224,4837,947,218,391,178,713,197,272,129,69,43,NA,NA,1532,419,116,91,22,28,3337,392,0,127,38.4,7,2397,375,101,113,"Census Tract 702, Suffolk County, Massachusetts",5329,555,"list(list(c(-71.064434, -71.064559, -71.065755, -71.066784, -71.068193, -71.066613, -71.066868, -71.067252, -71.067469, -71.064562, -71.064725, -71.063284, -71.062761, -71.060893, -71.059875, -71.061193, -71.061754, -71.063039, -71.064331, -71.064434, 42.347186, 42.347212, 42.347513, 42.347684, 42.347866, 42.348761, 42.350962, 42.351816, 42.352495, 42.352383, 42.351708, 42.351548, 42.351508, 42.351461, 42.351228, 42.34793, 42.347221, 42.34685, 42.347165, 42.347186)))",19927.944,38.4,28.748358040908236,FALSE
070300,106337,24363,80,65,160,124,327,196,212,115,73,58,NA,NA,3338,453,189,159,0,127,756,358,0,127,76.5,8.1,415,215,141,115,"Census Tract 703, Suffolk County, Massachusetts",4392,559,"list(list(c(-71.075239, -71.073916, -71.073531, -71.072692, -71.071816, -71.072, -71.072659, -71.072822, -71.070455, -71.070655, -71.067469, -71.067252, -71.066868, -71.066613, -71.068193, -71.068437, -71.068503, -71.068841, -71.069855, -71.070684, -71.071584, -71.071863, -71.072746, -71.074872, -71.075091, -71.075136, -71.075239, 42.345856, 42.346924, 42.347262, 42.347931, 42.348651, 42.349022, 42.35041, 42.350755, 42.351417, 42.351854, 42.352495, 42.351816, 42.350962, 42.348761, 42.347866, 42.347677, 
42.347602, 42.347105, 42.345266, 42.344464, 42.343976, 42.343833, 42.345657, 42.345105, 42.345567, 42.345685, 42.345856)))",116279.50949999999,76.5,76.00182149362477,FALSE
070402,16638,2003,514,135,228,118,319,87,114,48,41,34,NA,NA,150,98,304,138,0,127,1260,162,0,127,21.2,6.6,1091,191,127,129,"Census Tract 704.02, Suffolk County, Massachusetts",1901,176,"list(list(c(-71.065755, -71.064559, -71.064434, -71.064331, -71.063039, -71.060836, -71.061096, -71.060754, -71.060143, -71.060029, -71.059777, -71.061188, -71.062445, -71.062496, -71.06593, -71.067073, -71.069855, -71.068841, -71.068503, -71.068437, -71.068193, -71.066784, -71.065755, 42.347513, 42.347212, 42.347186, 42.347165, 42.34685, 42.346305, 42.345537, 42.345609, 42.345168, 42.345091, 42.344896, 42.342652, 42.342988, 42.343001, 42.343936, 42.344308, 42.345266, 42.347105, 42.347602, 42.347677, 
42.347866, 42.347684, 42.347513)))",18193.653,21.2,7.890583903208838,FALSE
070500,81331,27643,702,295,241,155,854,284,745,342,135,93,NA,NA,4832,778,517,347,0,127,1312,514,0,127,67.3,7.2,1164,348,1072,240,"Census Tract 705, Suffolk County, Massachusetts",7254,837,"list(list(c(-71.074995, -71.07596, -71.075269, -71.075884, -71.077372, -71.076592, -71.075349, -71.074586, -71.073755, -71.073157, -71.071863, -71.071584, -71.070684, -71.069855, -71.067073, -71.06593, -71.068782, -71.069671, -71.070065, -71.070707, -71.071089, -71.071308, -71.072075, -71.072751, -71.071826, -71.072504, -71.074288, -71.074995, 42.337931, 42.338724, 42.339211, 42.339757, 42.340931, 42.341336, 42.341991, 42.342408, 42.342831, 42.34316, 42.343833, 42.343976, 42.344464, 42.345266, 42.344308, 
42.343936, 42.341661, 42.341343, 42.341161, 42.34079, 42.340539, 42.340662, 42.341286, 42.340841, 42.340056, 42.339615, 42.338421, 42.337931)))",88935.4485,67.3,66.6115246760408,FALSE
070600,87222,17050,72,95,56,57,274,129,31,29,73,71,NA,NA,1755,223,64,86,0,127,171,157,0,127,81,10.2,305,246,323,254,"Census Tract 706, Suffolk County, Massachusetts",2351,255,"list(list(c(-71.076592, -71.077372, -71.078356, -71.079005, -71.079191, -71.078531, -71.077645, -71.077387, -71.076798, -71.075936, -71.074488, -71.074872, -71.072746, -71.071863, -71.073157, -71.073755, -71.074586, -71.075349, -71.076592, 42.341336, 42.340931, 42.341845, 42.342544, 42.342687, 42.343192, 42.343351, 42.343535, 42.343679, 42.343915, 42.344297, 42.345105, 42.345657, 42.343833, 42.34316, 42.342831, 42.342408, 42.341991, 42.341336)))",95377.257,81,74.64908549553381,FALSE
070700,59048,24669,132,101,29,41,265,118,240,108,81,55,NA,NA,1189,267,790,127,43,59,107,76,13,22,79.9,8,206,122,236,163,"Census Tract 707, Suffolk County, Massachusetts",2347,242,"list(list(c(-71.079972, -71.080082, -71.078086, -71.075981, -71.076261, -71.072, -71.071816, -71.072692, -71.073531, -71.073916, -71.075239, -71.075136, -71.075091, -71.074872, -71.074488, -71.075936, -71.076798, -71.077387, -71.077645, -71.078531, -71.079094, -71.079972, 42.34415, 42.344219, 42.345821, 42.347343, 42.347904, 42.349022, 42.348651, 42.347931, 42.347262, 42.346924, 42.345856, 42.345685, 42.345567, 42.345105, 42.344297, 42.343915, 42.343679, 42.343535, 42.343351, 42.343192, 42.343541, 
42.34415)))",64568.988,79.9,50.66041755432467,FALSE
070800,45172,13193,99,95,87,79,382,184,340,126,136,100,NA,NA,2150,283,856,185,14,24,163,108,0,127,67.6,7.9,441,199,427,229,"Census Tract 708, Suffolk County, Massachusetts",3436,278,"list(list(c(-71.079595, -71.080407, -71.081163, -71.081969, -71.083677, -71.084405, -71.084681, -71.083504, -71.083352, -71.08078, -71.080082, -71.079972, -71.079094, -71.078531, -71.079191, -71.079005, -71.078356, -71.077372, -71.077972, -71.079595, 42.339709, 42.33929, 42.338886, 42.338416, 42.33955, 42.339994, 42.340293, 42.341263, 42.341689, 42.343744, 42.344219, 42.34415, 42.343541, 42.343192, 42.342687, 42.342544, 42.341845, 42.340931, 42.340573, 42.339709)))",49395.581999999995,67.6,62.572759022118746,FALSE
070900,41364,11658,223,120,153,99,415,140,261,118,128,73,NA,NA,1670,294,755,206,10,17,191,123,0,127,61.5,8.6,684,238,576,278,"Census Tract 709, Suffolk County, Massachusetts",3057,329,"list(list(c(-71.075269, -71.07596, -71.074995, -71.075668, -71.076941, -71.077621, -71.079266, -71.081969, -71.081163, -71.080407, -71.079595, -71.077972, -71.077372, -71.075884, -71.075269, 42.339211, 42.338724, 42.337931, 42.337475, 42.336527, 42.336001, 42.336538, 42.338416, 42.338886, 42.33929, 42.339709, 42.340573, 42.340931, 42.339757, 42.339211)))",45231.534,61.5,54.62872096826955,FALSE
071101,42317,6733,223,104,187,92,486,201,370,151,141,94,NA,NA,1889,415,771,282,0,127,660,160,0,127,61.6,7.9,448,163,445,269,"Census Tract 711.01, Suffolk County, Massachusetts",3809,470,"list(list(c(-71.074995, -71.074288, -71.072504, -71.070949, -71.070365, -71.068351, -71.069023, -71.069219, -71.072192, -71.072977, -71.073441, -71.073908, -71.074357, -71.074576, -71.074855, -71.075037, -71.076119, -71.077045, -71.075783, -71.076384, -71.077621, -71.076941, -71.075668, -71.074995, 42.337931, 42.338421, 42.339615, 42.338306, 42.338783, 42.337172, 42.33669, 42.33478, 42.332659, 42.333177, 42.333561, 42.33322, 42.332847, 42.33297, 42.33323, 42.33349, 42.332813, 42.333609, 42.334493, 
42.33496, 42.336001, 42.336527, 42.337475, 42.337931)))",46273.6395,61.6,49.59306904699396,FALSE
071201,37098,10597,218,69,267,99,505,130,300,141,105,79,NA,NA,1340,273,677,243,0,127,415,121,0,127,56.9,8.4,659,159,546,157,"Census Tract 712.01, Suffolk County, Massachusetts",3066,361,"list(list(c(-71.068351, -71.070365, -71.070949, -71.072504, -71.071826, -71.072751, -71.072075, -71.071308, -71.071089, -71.070707, -71.070065, -71.069671, -71.068782, -71.06593, -71.062496, -71.062445, -71.064812, -71.065417, -71.066626, -71.067916, -71.068385, -71.068765, -71.069219, -71.069023, -71.068351, 42.337172, 42.338783, 42.338306, 42.339615, 42.340056, 42.340841, 42.341286, 42.340662, 42.340539, 42.34079, 42.341161, 42.341343, 42.341661, 42.343936, 42.343001, 42.342988, 42.338294, 42.335401, 
42.335342, 42.335185, 42.335068, 42.334916, 42.33478, 42.33669, 42.337172)))",40566.663,56.9,43.70515329419439,FALSE
080100,46492,10622,129,70,437,148,690,151,254,84,72,47,NA,NA,588,162,1492,276,52,80,81,74,0,127,66.3,8.1,360,117,413,125,"Census Tract 801, Suffolk County, Massachusetts",2724,357,"list(list(c(-71.077516, -71.078808, -71.079407, -71.0796, -71.079445, -71.078654, -71.077735, -71.07818, -71.077363, -71.076624, -71.075248, -71.075289, -71.07521, -71.075195, -71.075069, -71.077472, -71.076991, -71.076878, -71.074773, -71.074357, -71.073908, -71.073441, -71.072977, -71.072192, -71.069219, -71.068765, -71.068385, -71.067916, -71.066626, -71.065417, -71.065395, -71.065044, -71.062807, -71.063553, -71.066431, -71.066934, -71.067507, -71.069136, -71.069618, -71.07002, -71.07086, -71.071479, 
-71.072152, -71.07266, -71.072265, -71.071638, -71.073922, -71.074278, -71.074641, -71.074945, -71.075152, -71.075453, -71.07563, -71.075811, -71.076664, -71.077516, 42.323261, 42.323798, 42.324064, 42.324161, 42.324259, 42.324867, 42.325573, 42.325885, 42.326521, 42.327118, 42.325965, 42.326125, 42.327028, 42.32727, 42.328325, 42.330898, 42.331196, 42.331253, 42.332531, 42.332847, 42.33322, 42.333561, 42.333177, 42.332659, 42.33478, 42.334916, 42.335068, 42.335185, 42.335342, 42.335401, 42.335322, 
42.334594, 42.331959, 42.330791, 42.326256, 42.325151, 42.323297, 42.325051, 42.325432, 42.325718, 42.326272, 42.326687, 42.326347, 42.326023, 42.325517, 42.324647, 42.323759, 42.323549, 42.323238, 42.323475, 42.323668, 42.323878, 42.323989, 42.324146, 42.322889, 42.323261)))",50839.00199999999,66.3,21.58590308370044,FALSE
080300,30362,7141,84,55,262,103,136,89,165,100,75,73,NA,NA,128,73,1374,362,0,127,0,127,0,127,81.9,8.7,170,86,243,102,"Census Tract 803, Suffolk County, Massachusetts",1739,337,"list(list(c(-71.080891, -71.080253, -71.079264, -71.078675, -71.077472, -71.075069, -71.075195, -71.07521, -71.075289, -71.075248, -71.076624, -71.077363, -71.07818, -71.077735, -71.078654, -71.079445, -71.0796, -71.081605, -71.083308, -71.083271, -71.08327, -71.083448, -71.081521, -71.080891, 42.328497, 42.328522, 42.328514, 42.330135, 42.330898, 42.328325, 42.32727, 42.327028, 42.326125, 42.325965, 42.327118, 42.326521, 42.325885, 42.325573, 42.324867, 42.324259, 42.324161, 42.325549, 42.325959, 
42.32612, 42.326127, 42.32865, 42.328486, 42.328497)))",33200.846999999994,81.9,7.360552041403105,FALSE
