tot_pop_00,nonwhite_pop_00,owner_occ_00,GEOID,med_income00,tot_pop_10,med_income_10,ed_hs_10,rc_white_10,lang_eng_10,percEng_10,percWhite_10,geometry,tot_pop_90,rc_white_90,lang_eng_90,med_income_90,ed_hs_90,ed_ba_90
4551,1575,292,000701,38743,4233,53083,699,3283,68.6,68.6,77.55728797543114,"list(list(c(-71.135724, -71.135511, -71.135238, -71.135212, -71.135042, -71.135375, -71.135757, -71.135961, -71.135555, -71.134674, -71.134549, -71.134254, -71.135155, -71.135278, -71.135985, -71.137824, -71.138246, -71.138387, -71.139804, -71.140519, -71.141698, -71.140366, -71.140043, -71.139806, -71.138898, -71.13758, -71.136893, -71.136379, -71.135694, -71.135853, -71.135724, 42.34904, 42.348776, 42.34849, 42.348425, 42.348165, 42.348054, 42.347968, 42.347957, 42.347592, 42.34685, 42.346729, 
42.346577, 42.346023, 42.345941, 42.345366, 42.343876, 42.344126, 42.344218, 42.345093, 42.345523, 42.34602, 42.348686, 42.348866, 42.348958, 42.349034, 42.348649, 42.349704, 42.350393, 42.349992, 42.349449, 42.34904)))",9102,5952,2696,20384.666666666668,1676,2528
7462,2773,383,000702,35075,NA,NA,NA,NA,NA,NA,NA,NA,14924,9378,3942,21427.428571428572,2428,3838
3906,1010,52,000801,43721,NA,NA,NA,NA,NA,NA,NA,NA,7812,5792,1046,33092,534,3192
7053,2940,356,000802,40649,8142,36734,1263,5452,63.2,63.2,66.96143453696881,"list(list(c(-71.129509, -71.130167, -71.131278, -71.132106, -71.134002, -71.13456, -71.135801, -71.137445, -71.137625, -71.139066, -71.138198, -71.13808, -71.137979, -71.137369, -71.137098, -71.136961, -71.133083, -71.13224, -71.131621, -71.131488, -71.131267, -71.13083, -71.129768, -71.130277, -71.130417, -71.130361, -71.130218, -71.129949, -71.129755, -71.123039, -71.124829, -71.12318, -71.128027, -71.129718, -71.130233, -71.130738, -71.131396, -71.120729, -71.120694, -71.120832, -71.12126, -71.124236, 
-71.125024, -71.128344, -71.129509, 42.352747, 42.352828, 42.352949, 42.353061, 42.353283, 42.353352, 42.353497, 42.353595, 42.353612, 42.353791, 42.357093, 42.357419, 42.357608, 42.358761, 42.359056, 42.359315, 42.358556, 42.358585, 42.358799, 42.358595, 42.358722, 42.359024, 42.361072, 42.361611, 42.361957, 42.362353, 42.362694, 42.36303, 42.363198, 42.363751, 42.361182, 42.358998, 42.357261, 42.356654, 42.356478, 42.35636, 42.356105, 42.354615, 42.354479, 42.353824, 42.351872, 42.352242, 42.352236, 
42.352604, 42.352747)))",14106,8226,3468,30142,3228,3058
5447,1220,260,010101,84384,NA,NA,NA,NA,NA,NA,NA,NA,10894,8454,2506,25123.333333333332,580,2232
3708,867,81,010102,40361,NA,NA,NA,NA,NA,NA,NA,NA,7416,5682,630,13068,66,430
8247,2069,348,010200,28715,NA,NA,NA,NA,NA,NA,NA,NA,16494,12356,6620,19755.333333333332,1134,4792
3857,1544,29,010300,21759,5944,26397,41,4808,82.7,82.7,80.88829071332437,"list(list(c(-71.098988, -71.097537, -71.096885, -71.093205, -71.093213, -71.092461, -71.092266, -71.095745, -71.096947, -71.098133, -71.098884, -71.099564, -71.100306, -71.100935, -71.10539, -71.110001, -71.104168, -71.098988, 42.339095, 42.338706, 42.339026, 42.340943, 42.340612, 42.339587, 42.339107, 42.337727, 42.33726, 42.336783, 42.33649, 42.336255, 42.335941, 42.336168, 42.33786, 42.340317, 42.343318, 42.339095)))",7714,4626,918,17836,1040,524
6914,2049,299,010401,45162,NA,NA,NA,NA,NA,NA,NA,NA,13828,9730,5188,19073.2,1890,3556
5353,1697,55,010402,30805,NA,NA,NA,NA,NA,NA,NA,NA,10706,7312,1470,13214.666666666666,1198,738
2977,661,197,010500,64308,3382,36017,302,2352,74.6,74.6,69.54464813719693,"list(list(c(-71.086831, -71.087455, -71.087758, -71.086734, -71.085602, -71.084742, -71.084406, -71.082757, -71.081775, -71.081303, -71.080911, -71.080344, -71.080225, -71.080151, -71.080082, -71.08078, -71.083352, -71.084096, -71.084958, -71.085046, -71.085796, -71.085907, -71.086831, 42.345424, 42.346635, 42.3473, 42.347588, 42.347884, 42.346195, 42.346039, 42.345817, 42.345386, 42.345049, 42.344787, 42.3444, 42.344319, 42.344263, 42.344219, 42.343744, 42.341689, 42.342192, 42.34277, 42.342825, 
42.343332, 42.343486, 42.345424)))",5954,4632,2478,28872.75,598,2428
1969,460,178,010600,110132,2840,68080,196,2317,81,81,81.58450704225352,"list(list(c(-71.084406, -71.084742, -71.085602, -71.083796, -71.079508, -71.077368, -71.076933, -71.072659, -71.072, -71.076261, -71.075981, -71.078086, -71.080082, -71.080151, -71.080225, -71.080344, -71.080911, -71.081303, -71.081775, -71.082757, -71.084406, 42.346039, 42.346195, 42.347884, 42.348367, 42.349508, 42.350075, 42.34928, 42.35041, 42.349022, 42.347904, 42.347343, 42.345821, 42.344219, 42.344263, 42.344319, 42.3444, 42.344787, 42.345049, 42.345386, 42.345817, 42.346039)))",3938,3018,2576,32723,820,1988
5285,448,960,010700,115142,NA,NA,NA,NA,NA,NA,NA,NA,10570,9674,5208,39167.875,488,5734
6474,554,1445,010800,149085,NA,NA,NA,NA,NA,NA,NA,NA,12948,11840,6382,44242,410,7246
4497,163,1034,020100,169887,NA,NA,NA,NA,NA,NA,NA,NA,8994,8668,4982,52372.4,352,6220
3464,381,363,020200,71513,3739,54228,118,3449,86,86,92.24391548542391,"list(list(c(-71.068629, -71.070151, -71.070789, -71.072071, -71.072037, -71.072057, -71.072359, -71.072348, -71.070472, -71.069939, -71.069755, -71.068736, -71.06785, -71.066916, -71.066382, -71.065987, -71.065161, -71.065048, -71.066306, -71.066823, -71.067326, -71.067689, -71.068582, -71.068629, 42.359568, 42.359515, 42.359503, 42.359449, 42.359717, 42.360138, 42.360879, 42.361372, 42.36131, 42.361174, 42.361164, 42.361183, 42.3612, 42.361189, 42.361197, 42.361189, 42.361201, 42.359368, 42.359355, 
42.359352, 42.35934, 42.359309, 42.359339, 42.359568)))",6928,6166,3594,31399.25,478,3382
4831,843,639,020300,99704,NA,NA,NA,NA,NA,NA,NA,NA,9662,7976,4496,25114.4,1808,5092
1954,62,286,030100,53363,1958,53026,342,1861,80.4,80.4,95.04596527068438,"list(list(c(-71.055932, -71.056271, -71.057408, -71.058525, -71.058042, -71.05756, -71.057324, -71.0534, -71.053926, -71.054249, -71.054944, -71.055433, -71.055631, -71.055932, 42.365558, 42.365745, 42.365338, 42.366952, 42.367283, 42.367652, 42.367799, 42.367525, 42.366966, 42.367099, 42.366052, 42.366241, 42.36595, 42.365558)))",3908,3784,1652,31899.333333333332,1424,1046
1625,114,162,030200,39844,1650,51909,240,1500,81.9,81.9,90.9090909090909,"list(list(c(-71.055904, -71.056176, -71.056293, -71.055699, -71.056176, -71.057332, -71.057709, -71.058191, -71.058525, -71.057408, -71.056271, -71.055932, -71.055753, -71.055414, -71.055505, -71.055904, 42.363518, 42.363135, 42.362998, 42.362652, 42.362357, 42.36318, 42.363543, 42.364052, 42.366952, 42.365338, 42.365745, 42.365558, 42.36547, 42.365268, 42.364173, 42.363518)))",3250,3022,1130,22663,1278,820
3774,287,608,030300,89997,4598,106602,638,4126,83.9,83.9,89.73466724662897,"list(list(c(-71.052061, -71.051888, -71.051769, -71.051223, -71.051115, -71.05109, -71.0496, -71.049409, -71.046389, -71.0455, -71.045566, -71.049073, -71.049595, -71.050434, -71.050471, -71.050892, -71.05106, -71.052158, -71.055759, -71.057191, -71.05771, -71.058235, -71.058737, -71.058561, -71.05829, -71.062642, -71.062817, -71.062875, -71.062864, -71.062911, -71.061856, -71.058559, -71.0584, -71.058216, -71.058037, -71.057882, -71.057709, -71.057332, -71.056176, -71.05525, -71.055123, -71.05489, 
-71.054661, -71.054494, -71.054296, -71.054061, -71.053826, -71.053709, -71.053549, -71.053199, -71.052769, -71.05224, -71.052061, 42.36371, 42.363917, 42.364263, 42.364104, 42.363979, 42.364175, 42.364044, 42.364045, 42.363935, 42.359825, 42.359733, 42.354939, 42.354497, 42.354846, 42.354898, 42.35506, 42.355131, 42.358666, 42.356913, 42.356822, 42.356777, 42.356832, 42.356988, 42.357161, 42.35741, 42.357977, 42.358665, 42.359483, 42.36009, 42.361229, 42.36243, 42.363381, 42.363412, 42.363431, 42.363481, 
42.363546, 42.363543, 42.36318, 42.362357, 42.36183, 42.362045, 42.362265, 42.36238, 42.362511, 42.36283, 42.363108, 42.363303, 42.363367, 42.363416, 42.363474, 42.36353, 42.363626, 42.36371)))",7548,6974,3492,40063.8,1822,3556
2340,75,211,030400,48136,2241,61157,140,2123,87.8,87.8,94.73449352967425,"list(list(c(-71.055904, -71.055505, -71.055414, -71.055753, -71.055932, -71.055631, -71.055433, -71.054944, -71.054249, -71.053926, -71.053631, -71.053485, -71.053248, -71.053004, -71.052861, -71.053014, -71.053204, -71.053398, -71.051769, -71.051888, -71.052061, -71.05224, -71.052769, -71.053199, -71.053549, -71.053709, -71.053826, -71.054061, -71.054296, -71.054494, -71.054661, -71.05489, -71.055123, -71.05525, -71.056176, -71.055699, -71.056293, -71.056176, -71.055904, 42.363518, 42.364173, 42.365268, 
42.36547, 42.365558, 42.36595, 42.366241, 42.366052, 42.367099, 42.366966, 42.3668, 42.366644, 42.366319, 42.366053, 42.365829, 42.365314, 42.365066, 42.364841, 42.364263, 42.363917, 42.36371, 42.363626, 42.36353, 42.363474, 42.363416, 42.363367, 42.363303, 42.363108, 42.36283, 42.362511, 42.36238, 42.362265, 42.362045, 42.36183, 42.362357, 42.362652, 42.362998, 42.363135, 42.363518)))",4680,4530,2278,28166.333333333332,1350,1814
2050,89,429,030500,47088,2395,82308,138,2307,89.8,89.8,96.32567849686848,"list(list(c(-71.058042, -71.058525, -71.058585, -71.059051, -71.059558, -71.059795, -71.057141, -71.054995, -71.050895, -71.049095, -71.048844, -71.049575, -71.047025, -71.046389, -71.049409, -71.0496, -71.05109, -71.051115, -71.051223, -71.051769, -71.053398, -71.053204, -71.053014, -71.052861, -71.053004, -71.053248, -71.053485, -71.053631, -71.053926, -71.0534, -71.057324, -71.05756, -71.058042, 42.367283, 42.366952, 42.367117, 42.367779, 42.368427, 42.368767, 42.369982, 42.370697, 42.370697, 
42.371197, 42.370904, 42.370189, 42.367812, 42.363935, 42.364045, 42.364044, 42.364175, 42.363979, 42.364104, 42.364263, 42.364841, 42.365066, 42.365314, 42.365829, 42.366053, 42.366319, 42.366644, 42.3668, 42.366966, 42.367525, 42.367799, 42.367652, 42.367283)))",4100,3922,1432,34475.666666666664,1410,1160
409,35,0,030599,0,NA,NA,NA,NA,NA,NA,NA,NA,818,748,0,0,192,38
