GEOID,tot_pop_90,rc_white_90,lang_eng_90,med_income_90,ed_hs_90,ed_ba_90
110300,4530,3668,1260,41511.666666666664,1560,930
110401,7120,4824,1570,35708.4,2808,770
110402,8296,7468,2434,38390.5,3196,1348
110501,6818,6294,2056,48213.75,1942,1822
110502,7566,6548,2376,30336.75,3130,1180
110601,4954,4608,1618,49267.8,1408,1770
110602,11346,10660,3244,39339.333333333336,4038,2780
120100,13318,10886,4208,55231.666666666664,2768,5480
120200,7766,3580,1950,29842.4,2470,1798
120300,10450,3156,1598,29884.2,3514,1574
120400,11386,8806,3566,35043.666666666664,2634,4500
120500,4964,632,260,22823.75,2074,240
120600,5010,3192,1338,35759.25,1480,1406
120700,4346,2662,1468,35584.333333333336,934,1372
130100,11954,11388,4206,39491.875,3640,4036
130200,9876,9624,3036,50159.5,2566,2996
130300,9294,9020,2902,53204.666666666664,2174,2958
130401,13548,12438,5094,31990.4,5812,2564
130402,9806,9414,3684,38213.8,3828,1918
140101,16074,13134,4856,32915.166666666664,6254,1972
140102,8060,7022,2278,35062.166666666664,2962,1156
140200,14894,13964,4792,37619.77777777778,5744,2314
140300,10814,7290,3068,30594.5,4290,1306
140400,15400,5034,3790,43716.71428571428,6030,1604
150100,2610,988,0,0,1710,54
160100,12072,5326,1844,29457.285714285714,4556,574
160200,7646,2686,1146,21318.6,3336,536
160300,2310,1984,1204,27000,726,824
160400,5574,1738,630,15540.666666666666,2332,222
160500,15508,10492,4246,23868.5,7456,684
160600,13806,11796,4024,30796.88888888889,6304,1374
160700,504,504,0,0,422,82
170100,12330,11700,3722,36342,6148,968
170200,8524,8134,2630,30949.2,4394,522
170300,12750,12510,3654,36690.875,6198,1306
170400,9160,8344,3058,28159.4,4770,606
170500,10486,9830,4164,31370.6,4858,1464
170600,8968,8664,3110,30360.166666666668,4366,882
170700,14836,10706,4448,23113.222222222223,7078,808
170800,8518,7862,2994,31382.5,3960,860
180100,9740,9300,3886,35451.6,3778,1780
180200,7910,7834,2846,37828.166666666664,3448,856
180300,6690,6544,2008,42054.6,2204,1128
180400,3754,3612,1232,41075.333333333336,1106,742
180500,8160,7854,3180,36325.4,2942,1292
